article_name,cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
gh rice basmati super 5kg,gh rice basmati ,5kg,super gummy,organic grains,grocery,flavor: rice flavor: basmati,gh ,[]
amul cheese mozzarella 200g, cheese mozzarella ,200g,amul,frozen veg,branded food,flavor: cheese flavor: mozzarella, ,[]
golden harvest pink rock salt 200g, pink rock salt ,200g,golden harvest,masala spices,grocery,color: pink type: pink, rock salt ,"['rock', 'salt']"
gh daily rava suji small 1kg,gh daily rava suji small ,1kg,,stationery,toys stationery,flavor: rava flavor: suji,gh daily small ,"['daily', 'small']"
gh basmati rice mogra 10kg,gh basmati rice mogra ,10kg,,organic grains,grocery,flavor: rice flavor: basmati,gh mogra ,[]
amul kool cafe flavoured milk 180ml, kool cafe flavoured milk ,180ml,amul,ice cream desserts,branded food,flavor: milk, kool cafe flavoured ,"['cafe', 'flavoured']"
wagh bakri ice tea orange 250g, ice orange ,250g,wagh bakri,tea coffee,beverages,flavor: orange color: orange, ice ,['ice']
engage deo blush women cn 150ml, deo blush women cn ,150ml,engage,deos perfumes,beauty personal care,, deo bluh women cn ,"['deo', 'women']"
gh daily dates dry 200g,gh daily dates ,200g,,dry fruits,grocery,,gh daily date ,"['daily', 'date']"
fortune besan pp 500g, besan pp ,500g,fortune,health drinks,beverages,flavor: besan, pp ,[]
gh daily poha thin 1kg,gh daily poha thin ,1kg,,breakfast cereals,branded food,flavor: poha,gh daily thin ,"['daily', 'thin']"
gh daily pow spice dry mango 100g,gh daily pow dry mango ,100g,old spice,freshners repellents,home hygiene,flavor: mango,gh daily pow dry ,"['daily', 'pow', 'dry']"
gh daily who spice panch phoran 100g,gh daily who panch phoran ,100g,old spice,freshners repellents,home hygiene,,gh daily who panch phoran ,"['daily', 'panch']"
gh daily who spice khuskhus 100g,gh daily who khuskhus ,100g,old spice,freshners repellents,home hygiene,,gh daily who khukhu ,['daily']
lettuce roquette,lettuce roquette,,preet lite,chips namkeens snacks,branded food,flavor: lettuce flavor: roquette, ,[]
bigger six grain stix tangy pickle,bigger six grain stix tangy pickle,,,pickles chutneys,branded food,flavor: tangy flavor: grain flavor: pickle,bigger six stix ,"['bigger', 'six']"
typhoo lemongrass green tea bag 25pcs,typhoo lemongrass bag ,25pcs,green brrew,tea coffee,beverages,flavor: lemongrass type: bag,typhoo ,['typhoo']
exo brocoli loose,exo brocoli ,,loose,masala spices,grocery,,exo brocoli ,[]
parval,parval,,parle,biscuits cookies crackers,branded food,,parval,[]
avocado,avocado,,foco,breakfast cereals,branded food,flavor: avocado,,[]
potato low sugar,potato low ,,sugar free,salt sugar jaggery,grocery,flavor: potato, low ,['low']
mango kesar, kesar,,three mango,pickles chutneys,branded food,flavor: kesar, ,[]
exo chilli red pkd, chilli red pkd,,exo,chips namkeens snacks,branded food,flavor: chilli color: red, pkd,[]
chilli pikador,chilli pikador,,hello panda,biscuits cookies crackers,branded food,flavor: chilli, pikador,[]
chilli small green,chilli small ,,green brrew,sauces puree dips,branded food,flavor: chilli, small ,['small']
yam,yam,,yan yan,ready to eat,branded food,flavor: yam,,[]
nilgiris belgian chocolate milk 180ml,nilgiris belgian milk ,180ml,chocolate,chocolates cakes confectioneries,branded food,flavor: milk,nilgiris belgian ,['belgian']
dilmah natural cinnamon green tea bag 25pcs, natural cinnamon green bag ,25pcs,dilmah,tea coffee,beverages,flavor: cinnamon color: green type: bag, natural ,['natural']
hersheys candy kisses special dark chocolate 340g,hersheys candy kisses special dark ,340g,chocolate,chocolates cakes confectioneries,branded food,color: dark flavor: candy,hersheys kisses special ,"['kisses', 'special']"
mothers rec pav bhaji mix 100g,mothers rec pav bhaji mix ,100g,,baking dessert mixes,branded food,flavor: bhaji,mothers rec pav mix ,"['mothers', 'rec', 'pav', 'mix']"
gillette razor mach3 turbo, razor mach3 turbo,,gillette,men toiletries,beauty personal care,, razor mach3 turbo,"['razor', 'turbo']"
chupa chups sour belt mixed fruit 57.6g, sour belt mixed ,57.6g,chupa chups,fruit juices drinks,beverages,type: belt, sour mixed ,"['sour', 'mixed']"
gillette cartridge vector 2p, cartridge vector ,2p,gillette,men toiletries,beauty personal care,, cartridge vector ,"['cartridge', 'vector']"
nutrela soya mini chunks pp 80g, soya mini chunks pp ,80g,nutrela,rice wheat other grains,grocery,flavor: soya, mini chunks pp ,"['mini', 'chunks']"
morris biscuits cheese butter 135g, cheese butter ,135g,morris,biscuits cookies crackers,branded food,flavor: butter flavor: cheese, ,[]
crmt agarbathi 2 in 1 100p,crmt agarbathi 2 in 00p,1 100p,,pooja needs,home hygiene,,crmt agarbathi 2 in 00p,[]
layerr deo deep desire shot 135ml,layerr deo desire shot ,135ml,deep jyoti,deos perfumes,beauty personal care,,layerr deo deire hot ,"['deo', 'hot']"
odomos mos crm gel 80g, mos crm gel ,80g,odomos,freshners repellents,home hygiene,type: gel, mos crm ,['mos']
dabur honitus cough remedy 100ml, cough remedy ,100ml,dabur honitus,otc,beauty personal care,, cough remedy ,"['cough', 'remedy']"
sensodyne tpaste rapid relief 80g, tpaste rapid relief ,80g,sensodyne,oral care,beauty personal care,, tpate rapid relief ,"['rapid', 'relief']"
cadbury choco dm roast almond 36g, choco dm roast almond ,36g,cadbury,chocolates cakes confectioneries,branded food,flavor: choco flavor: almond flavor: roast, dm ,[]
boost health drink sachet 75g, health drink sachet ,75g,boost,soft drinks,beverages,type: sachet, health drink ,"['health', 'drink']"
tata tetley super boost green tea 10pcs, tetley super boost green ,10pcs,tata tea,tea coffee,beverages,color: green, tetley super boost ,"['tetley', 'super', 'boost']"
ph masoor whole pp 500g,ph masoor whole pp ,500g,,dals pulses,grocery,flavor: masoor,ph whole pp ,['whole']
ph moong whole green pp 1kg,ph moong whole pp ,1kg,green brrew,pickles chutneys,branded food,flavor: moong,ph whole pp ,['whole']
choice gol gappe papad 100g, gol gappe papad ,100g,easy choice,ready to fry,branded food,flavor: papad, gol gappe ,[]
mccain frzn snk potato cheese shotz 250g, frzn snk potato cheese shotz ,250g,mccain,frozen veg,branded food,flavor: potato flavor: cheese, frzn snk shotz ,[]
premium talc lavender 1+1 300g, talc lavender + ,1 300g,premium,chocolates cakes confectioneries,branded food,type: talc color: lavender flavor: lavender, + ,[]
coca cola diet soft drink 300ml, diet drink ,300ml,coca cola,soft drinks,beverages,, diet drink ,"['diet', 'drink']"
bonn prime time fruity buns, prime time fruity buns,,bonn,stationery,toys stationery,flavor: fruity, prime time buns,"['prime', 'time', 'buns']"
gh prime who spice khus khus pp 100g,gh prime who khus khus pp ,100g,old spice,ice cream desserts,branded food,flavor: khus type: khus,gh prime who pp ,['prime']
too yumm veggie stx combi pck pp 3*60g, yumm veggie stx combi pck pp ,3*60g,too yumm!,toys,toys stationery,flavor: veggie, yumm stx combi pck pp ,[]
ghpr chana green pp 500g,ghpr chana pp ,500g,green brrew,masala spices,grocery,flavor: chana,ghpr pp ,[]
fun foods garlic mayonnaise 275g,fun garlic mayonnaise ,275g,hr foods,jams spreads honey,branded food,type: mayonnaise flavor: garlic flavor: mayonnaise,fun ,['fun']
bhuira spicy plum chutney 460g, spicy plum chutney ,460g,bhuira,chips namkeens snacks,branded food,flavor: chutney flavor: spicy, plum ,['plum']
sugarfree natura diet sugar 75g,sugarfree natura sugar ,75g,diet,organic flours,grocery,flavor: sugar,free natura ,"['free', 'natura']"
pediasure chocolate jar 200g, chocolate jar ,200g,pediasure,health drinks,beverages,type: chocolate flavor: chocolate, jar ,['jar']
mint,mint,,smint,chocolates cakes confectioneries,branded food,flavor: mint,,[]
cavins butterscotch milk shake 1l,cavins butterscotch milk shake ,1l,,soft drinks,beverages,flavor: butterscotch flavor: milk,cavins shake ,['shake']
haldiram sweet besan laddu box 336g, weet bean laddu box ,336g,haldiram s,chips namkeens snacks,branded food,flavor: laddu flavor: bean, weet box ,['box']
baker street mexican khari munchies 150g, mexican khari munchies ,150g,baker street,chips namkeens snacks,branded food,, mexican khari munchie ,['mexican']
park avenue deo 4x impact regal bx 120ml, deo act regal bx 120ml,4x imp,park avenue,deos perfumes,beauty personal care,, deo act regal bx 120ml,"['deo', 'act', 'regal']"
odomos cream 100g, cream ,100g,odomos,jams spreads honey,branded food,type: cream flavor: cream, ,[]
pratha dhoop stick delux 20 sticks, dhoop tick delux tick,20 s,pratha,toys,toys stationery,, dhoop tick delux tick,"['tick', 'tick']"
pratha oth pooja haldi 50g, oth pooja haldi ,50g,pratha,toys,toys stationery,flavor: haldi, oth pooja ,['oth']
swiss tmpl deep purifying fc ws tb 50ml,swiss tmpl purifying fc ws tb ,50ml,deep jyoti,skin care,beauty personal care,,wi tmpl purifying fc w tb ,['purifying']
peppy oth snack tomato discs 75g, oth snack tomato discs ,75g,peppy,sauces puree dips,branded food,flavor: tomato, oth snack discs ,"['oth', 'snack', 'discs']"
harpic tl pwr pls 500m+bath cln 500ml op, tl pwr pls 500m+bath cln op,500ml,harpic,home cleaning,home hygiene,, tl pwr pl 500m+bath cln op,['pwr']
puretta soft grip comb & brush set 2p, soft grip comb & brush set ,2p,puretta,toys,toys stationery,, oft grip comb & bruh et ,"['oft', 'grip', 'comb']"
americana coconut cookies pp 200g, coconut cookies pp ,200g,americana,chocolates cakes confectioneries,branded food,flavor: coconut flavor: cookies, pp ,[]
mtr vegetable pulav 250g, vegetable pulav ,250g,mtr,ready to eat,branded food,flavor: vegetable, pulav ,[]
"mtr rava dosa breakfast mix, 500g"," rava dosa breakfast mix, ",500g,mtr,ready mixes,grocery,flavor: rava flavor: dosa," breakfast mix, ",['breakfast']
"mtr instant rava idli mix, 500g"," instant rava idli mix, ",500g,mtr,ready to eat,branded food,flavor: rava flavor: idli," instant mix, ",['instant']
himalaya fw neem kit, fw neem kit,,himalaya,baby care,baby care,type: neem, fw kit,['kit']
foco coconut water 100% natural 500 ml, coconut water 100% natural ,500 ml,foco,fruit juices drinks,beverages,flavor: coconut, water 100% natural ,"['water', 'natural']"
pravin pickle mixed 1k, pickle mixed 1k,,pravin,pickles chutneys,branded food,flavor: pickle, mixed 1k,['mixed']
wheafree gluten free namakpara pp 300g, gluten free namakpara pp ,300g,wheafree,stationery,toys stationery,, gluten free namakpara pp ,"['gluten', 'free']"
hi milk candy,hi milk candy,,candyman,chocolates cakes confectioneries,branded food,flavor: milk flavor: candy,hi ,[]
alpenliebe cream strawberry pop candy 8g, cream strawberry pop candy ,8g,alpenliebe,chocolates cakes confectioneries,branded food,type: cream flavor: cream flavor: strawberry flavor: candy, pop ,['pop']
gh poha avalakki medium 500g,gh poha avalakki medium ,500g,,toys,toys stationery,flavor: poha,gh avalakki medium ,['medium']
britannia gd wonderfull btr almnd pp 30g, gd wonderfull btr almnd pp ,30g,britannia,biscuits cookies crackers,branded food,, gd wonderfull btr almnd pp ,['btr']
britania shbh kamna mita nm dlgt 400g gp,britania shbh kamna mita nm dlt p,400g g,britannia,biscuits cookies crackers,branded food,,britania hbh kamna mita nm dlt p,"['mita', 'dlt']"
india gate basmati rice classic pp 1kg, basmati rice classic pp ,1kg,india gate,organic grains,grocery,flavor: rice flavor: basmati, classic pp ,['classic']
scotch bri utensil srb spng wpe l pk 3, bri utensil srb spng wpe l pk 3,,3m scotch,stationery,toys stationery,, bri utenil rb png wpe l pk 3,"['bri', 'png']"
scotch bri utensl srb scrb gnrl pur3*4, bri utensl srb scrb gnrl pur3*4,,3m scotch,chocolates cakes confectioneries,branded food,, bri utenl rb crb gnrl pur3*4,['bri']
nature s treat mango & chana pickle 110g, mango & chana pickle ,110g,nature s treat,pickles chutneys,branded food,flavor: chana flavor: mango flavor: pickle, & ,[]
cycle agarbathi 3 in 1 classic bx 138g, agarbathi 3 in sic bx 38g,1 clas,cycle,pooja needs,home hygiene,, agarbathi 3 in ic bx 38g,[]
boiled american sweet corn kernels,boiled sweet corn kernels,,american garden,noodles pastas vermicelli,branded food,flavor: corn flavor: kernels,boiled sweet ,"['boiled', 'sweet']"
sweet corn bhutta,sweet corn bhutta,,sunsweet,ready to eat,branded food,flavor: corn,sweet bhutta,['sweet']
l-wheat lokwan b,l-wheat lokwan b,,,chips namkeens snacks,branded food,,l-wheat lokwan b,[]
pantene shmp smooth silky 80ml, shmp smooth silky ,80ml,pantene,hair care,beauty personal care,, hmp mooth ilky ,[]
catch readymix meat masala bx 100g, readymix meat bx ,100g,catch,masala spices,grocery,flavor: meat, readymix bx ,[]
horlicks junior 4-5-6 original box 500g, junior 4-5- inal box 500g,6 orig,horlicks,health drinks,beverages,, junior 4-5- inal box 500g,"['junior', 'box']"
bingo wfr tomato madness pp 45g, wfr tomato madness pp ,45g,bingo,chips namkeens snacks,branded food,flavor: tomato, wfr madness pp ,['madness']
kinley water 500m, 500m,,kinley,mineral water soda,beverages,, 500m,[]
nutella choco fr nutella bt 750g, choco fr bt ,750g,nutella,chocolates cakes confectioneries,branded food,flavor: choco, fr bt ,[]
apple rose pack,apple rose pack,,,fruit juices drinks,beverages,flavor: apple, rose pack,"['rose', 'pack']"
passion fruit,passion ,,fruit,fruit juices drinks,beverages,,paion ,[]
american g sld dresng ranch bt 227g, g sld dresng ranch bt ,227g,american garden,jams spreads honey,branded food,, g ld dreng ranch bt ,['ranch']
parle wfr tangy tomato 85g, wfr tangy tomato ,85g,parle,biscuits cookies crackers,branded food,flavor: tangy flavor: tomato, wfr ,[]
patanjali hing peda 200g, hing peda ,200g,patanjali,jams spreads honey,branded food,flavor: peda, hing ,[]
patanjali hair conditioner protien 100g, conditioner protien ,100g,patanjali,hair care,beauty personal care,type: conditioner, protien ,[]
mapro falero strawberry fruit chew 150g,mapro strawberry fruit chew ,150g,falero,fun drink mix,beverages,flavor: strawberry flavor: fruit,mapro chew ,['chew']
vanish liq oxy action 180ml, liq oxy action ,180ml,vanish,mineral water soda,beverages,, liq oxy action ,"['oxy', 'action']"
uttam sugar bura 500g, bura ,500g,uttam,salt sugar jaggery,grocery,, bura ,[]
typhoo tea bag lemon & lime zest 25pcs,typhoo bag lemon & lime zest ,25pcs,tata tea,tea coffee,beverages,flavor: lime flavor: lemon type: bag,typhoo & zest ,"['typhoo', 'zest']"
brinjal nagpur,brinjal nag,,ambi pur,freshners repellents,home hygiene,flavor: brinjal, nag,['nag']
kakdi safed,kakdi safed,,kanodia,toys,toys stationery,,kakdi afed,[]
apple golden,apple ,,golden harvest,baking dessert mixes,branded food,flavor: apple, ,[]
nice coconut, coconut,,nice time,skin care,beauty personal care,flavor: coconut, ,[]
kwality walls strawberry 700 ml party pack, strawberry party pack,700 ml,kwality walls,ice cream desserts,branded food,flavor: strawberry, party pack,"['party', 'pack']"
he body perfume power bt 122ml, body perfume power bt ,122ml,he,deos perfumes,beauty personal care,type: perfume, body power bt ,"['body', 'power']"
hershey s cocoa almond spread 135g, cocoa almond pread ,135g,hershey s,jams spreads honey,branded food,flavor: almond, cocoa pread ,['cocoa']
tropicana litchi twirl juice 1l, litchi twirl juice ,1l,tropicana,fruit juices drinks,beverages,flavor: juice flavor: litchi, twirl ,['twirl']
nilgiris coffee caramel milk 180ml, coffee caramel milk ,180ml,nilgiris,chocolates cakes confectioneries,branded food,flavor: caramel flavor: milk, coffee ,['coffee']
ghpr yelow peas pp 500g,ghpr yelow peas pp ,500g,,stationery,toys stationery,flavor: peas,ghpr yelow pp ,[]
kesh king shampoo anti hairfall bt 340ml, shampoo anti fall bt ,340ml,kesh king,hair care,beauty personal care,type: shampoo, anti fall bt ,"['anti', 'fall']"
coca cola csd cans 6*300ml gp, csd cans gp,6*300ml,coca cola,soft drinks,beverages,, cd can gp,[]
eno digestive lemon 100g, digestive lemon ,100g,eno,otc,beauty personal care,flavor: lemon, digestive ,['digestive']
b natural jamun joy juice 1l, jamun joy juice ,1l,b natural,fruit juices drinks,beverages,flavor: jamun flavor: juice, joy ,['joy']
weikfield dessertmix jelly strawberry 90g, mix jelly strawberry ,90g,weikfield,baking dessert mixes,branded food,flavor: jelly flavor: strawberry, mix ,['mix']
"eat anytime healthy energy bar - choco peanut butter, 38 gm","eat anytime healthy enery - choco peanut butter, m",38 g,yoga bar,chocolates cakes confectioneries,branded food,flavor: choco flavor: peanut,"eat anytime healthy enery - butter, m","['eat', 'anytime', 'healthy']"
rasna orange powder concentrate 100g, orange powder concentrate ,100g,rasna,jams spreads honey,branded food,flavor: orange color: orange, powder concentrate ,"['powder', 'concentrate']"
lindt choc swiss classic milk hazelnut 100g, choc swiss classic milk hazelnut ,100g,lindt,chocolates cakes confectioneries,branded food,flavor: milk flavor: hazelnut, choc swiss classic ,"['choc', 'swiss', 'classic']"
colonel & co sizzling jalepeno nacho crisps 60g, sizzling jalepeno nacho crisps ,60g,colonel & co,chips namkeens snacks,branded food,flavor: jalepeno flavor: nacho type: crisps, sizzling ,['sizzling']
lion dry fruit desrt king cup dates 200g,lion desrt king cup dates ,200g,fruit,dry fruits,grocery,,lion dert king cup date ,"['lion', 'king', 'cup', 'date']"
abbies pizza sauce 397g,abbies pizza sauce ,397g,,sauces puree dips,branded food,flavor: pizza flavor: sauce,abbies ,[]
pediasure complete vanilla jr 400g, complete vanilla jr ,400g,pediasure,health drinks,beverages,flavor: vanilla, complete jr ,['complete']
chings oats snacky manchow pp 25g,chings oats snacky manchow pp ,25g,,ready to eat,branded food,flavor: oats,chings snacky manchow pp ,[]
fanta 750ml, ,750ml,fanta,chocolates cakes confectioneries,branded food,, ,[]
clmt toilet clen active plus pp 500ml, toilet clen active plus pp ,500ml,clmt,home cleaning,home hygiene,type: toilet, clen active plus pp ,"['active', 'plus']"
oreo sandwich biscuit 50g, sandwich biscuit ,50g,oreo,biscuits cookies crackers,branded food,flavor: sandwich, biscuit ,['biscuit']
rex bkg nd pow 100g, bkg nd pow ,100g,rex,toys,toys stationery,, bkg nd pow ,['pow']
clmt utensl bar 4*250g container pack, utensl bar container pack,4*250g,clmt,chocolates cakes confectioneries,branded food,, utenl bar container pack,"['bar', 'container', 'pack']"
oreo biscuts vanilla pp 300g, biscuts vanilla pp ,300g,oreo,biscuits cookies crackers,branded food,flavor: vanilla, biscuts pp ,[]
fun foods chocolate cake mix 250g,fun s cake mix ,250g,chocolate,baking dessert mixes,branded food,,fun cake mix ,"['fun', 'cake', 'mix']"
stayfree dry max ult thn all night 28p, dry max ult thn all night ,28p,stayfree,freshners repellents,home hygiene,, dry max ult thn all night ,"['dry', 'max', 'night']"
fun foods mayonnaise burger eggless 275g,fun mayonnaise burger eggless ,275g,hr foods,jams spreads honey,branded food,type: mayonnaise flavor: eggless flavor: burger flavor: mayonnaise,fun ,['fun']
loreal hrclr 3.16 burgundy,loreal hrclr 3.1 undy,6 burg,,hair care,beauty personal care,,loreal hrclr 3.1 undy,['3.1']
garnier colour nat hrclr black shade no 1 60m, colour nat hrclr black shade no 1 60m,,garnier,skin care,beauty personal care,color: black, colour nat hrclr shade no 1 60m,"['colour', 'nat', 'shade']"
dabur chyawanprash 1kg, chyawanprash ,1kg,dabur,otc,beauty personal care,type: chyawanprash, ,[]
karachi biscuits fruit biscuits premium,karachi fruit ,,premium,biscuits cookies crackers,branded food,flavor: fruit,karachi ,['karachi']
265 swash card 20, wah card 20,265 s,,stationery,toys stationery,, wah card 20,"['wah', 'card']"
sunfeast gifting box 500g, gifting box ,500g,sunfeast,biscuits cookies crackers,branded food,, gifting box ,['box']
oralb tb cavity defense black soft 4p,b tb cavity defense black soft ,4p,,oral care,beauty personal care,color: black,b tb cavity defense soft ,"['cavity', 'defense', 'soft']"
mantra corn dahaliya 500g, corn dahaliya ,500g,24 mantra,organic flours,grocery,flavor: corn, dahaliya ,[]
24 lm masoor malka pp 500g, m masoor maka pp 500g,24 l,,stationery,toys stationery,flavor: masoor, m maka pp 500g,[]
24 letter mantra wheat bran pp 500g, etter wheat bran pp 500g,24 l,24 mantra,organic grains,grocery,flavor: bran flavor: wheat, etter pp 500g,[]
f&p coffee instant pure gb 25g,f&p instant gb ,25g,pure derm,tea coffee,beverages,,f&p intant gb ,[]
lakme youth infinity skin firming night creme 50 g, youth infinity firmin niht creme ,50 g,lakme,skin care,beauty personal care,, youth infinity firmin niht creme ,"['youth', 'infinity', 'firmin', 'niht', 'creme']"
jalaram khakhra mobile methi masala 180g, khakhra mobile methi maala ,180g,jalaram food s,masala spices,grocery,flavor: methi, khakhra mobile maala ,['mobile']
"lakme jewel sindoor, maroon, 5 ml"," jewel sindoor, maroon, ",5 ml,lakme,skin care,beauty personal care,," jewel indoor, maroon, ",['jewel']
super gummy c&l multivitamin pp 102g, c&l multivitamin pp ,102g,super gummy,otc,beauty personal care,, c&l multivitamin pp ,['multivitamin']
lakme sunscreen sun expert uv50pa+++100m, sunscreen sun expert uva+++100m,50p,lakme,skin care,beauty personal care,type: sunscreen, sun expert uva+++100m,"['sun', 'expert']"
orbit winterfrost ipl pp 4.4g, winterfrost ipl pp ,4.4g,orbit,chocolates cakes confectioneries,branded food,, winterfrot ipl pp ,[]
badshah readymix chole bx 50g, readymix chole bx ,50g,badshah,toys,toys stationery,, readymix chole bx ,[]
similac infant advance stage 2 bx 400g, infant advance stage 2 bx ,400g,similac,toys,toys stationery,, infant advance tage 2 bx ,"['infant', 'advance']"
haldiram sweet white rasbhari cn 500g, weet white rabhari cn ,500g,haldiram s,chips namkeens snacks,branded food,color: white, weet rabhari cn ,[]
dove environmental defenc shmpo bt 180ml, environmental defenc shmpo bt ,180ml,dove,hair care,beauty personal care,, environmental defenc hmpo bt ,['environmental']
veeba spread carrot & cucumber bt 280g, spread carrot & cucumber bt ,280g,veeba,jams spreads honey,branded food,flavor: carrot flavor: cucumber, spread & bt ,['spread']
veeba sauce pizza topping bt 310g, sauce pizza topping bt ,310g,veeba,sauces puree dips,branded food,flavor: pizza flavor: sauce, topping bt ,['topping']
pure derm shmpoo anti-dandruff 180ml, shmpoo anti-dandruff ,180ml,pure derm,hair care,beauty personal care,, hmpoo anti-dandruff ,[]
g bakers kaju pista 300gm, kaju pista 300m,300g,g bakers,chocolates cakes confectioneries,branded food,flavor: kaju flavor: pista, 300m,[]
g bakers bread - healthy whole wheat 400, bread - healthy whole wheat 400,,g bakers,masala spices,grocery,flavor: bread flavor: wheat, - healthy whole 400,"['healthy', 'whole', '400']"
himalaya bdy crm rich cocoa btr tb 200ml, bdy crm rich cocoa btr tb ,200ml,himalaya,otc,beauty personal care,, bdy crm rich cocoa btr tb ,"['rich', 'cocoa', 'btr']"
bhpc edt sport men 1 50ml,bhpc edt men ,1 50ml,ritter sport,deos perfumes,beauty personal care,,bhpc edt men ,"['edt', 'men']"
bhpc deo sport 1 men cn 175ml,bhpc deo 1 men cn ,175ml,ritter sport,deos perfumes,beauty personal care,,bhpc deo 1 men cn ,"['deo', 'men']"
maggi,,,maggi,noodles pastas vermicelli,branded food,,,[]
protinex original tin 400g, original tin ,400g,protinex,health drinks,beverages,, original tin ,"['original', 'tin']"
good knight mosquto coil low smoke 12hr, mosquto coil low smoke 12hr,,good knight,freshners repellents,home hygiene,, moquto coil low moke 12hr,"['coil', 'low']"
flying bird khus essence 20ml, khus essence ,20ml,flying bird,masala spices,grocery,flavor: khus type: khus, essence ,['essence']
maggi soup vegetable chilli pepper 15g, soup vegetable chilli pepper ,15g,maggi,noodles pastas vermicelli,branded food,flavor: vegetable flavor: chilli flavor: pepper flavor: soup, ,[]
nestle nesquik chocolate 500gms,nestle nesquik ,500gms,chocolate,chocolates cakes confectioneries,branded food,,netle nequik ,[]
cream biscuit bourbon 4 fun,cream biscuit bourbon 4 fun,,,biscuits cookies crackers,branded food,type: cream flavor: cream, biscuit bourbon 4 fun,"['biscuit', 'bourbon', 'fun']"
choco truffel,choco truffel,,chocolate,chocolates cakes confectioneries,branded food,flavor: choco, truffel,[]
nilgiris rich plum cake 50g, rich plum cake ,50g,nilgiris,chocolates cakes confectioneries,branded food,, rich plum cake ,"['rich', 'plum', 'cake']"
pantai sauce fish bt 200ml, sauce fish bt ,200ml,pantai,sauces puree dips,branded food,flavor: sauce flavor: fish, bt ,[]
gh groundnut 1kg,gh groundnut ,1kg,gud egg,noodles pastas vermicelli,branded food,flavor: groundnut,gh ,[]
gh bhagar 500g,gh bhagar ,500g,,chocolates cakes confectioneries,branded food,,gh bhagar ,[]
gh sugar khadi 100gm,gh khadi m,100g,sugar free,salt sugar jaggery,grocery,,gh khadi m,[]
cerelac cereal wheat rice mix veg 300g, cereal wheat rice mix veg ,300g,cerelac,flours sooji,grocery,flavor: wheat flavor: cereal flavor: veg type: cereal flavor: rice, mix ,['mix']
gh daily pow spice white pepper 100g,gh daily pow spice white pepper ,100g,mr.white,skin care,beauty personal care,flavor: pepper color: white,gh daily pow spice ,"['daily', 'pow', 'spice']"
gh who spice nylon til 200g,gh who nylon til ,200g,old spice,freshners repellents,home hygiene,type: nylon,gh who til ,['til']
engage perfume spray w3 woman bt 120ml, perfume spray w3 woman bt ,120ml,engage,deos perfumes,beauty personal care,type: perfume, spray w3 woman bt ,"['spray', 'woman']"
nivea deo fresh active 150m, deo fresh active 150m,,nivea,deos perfumes,beauty personal care,, deo freh active 150m,"['deo', 'active']"
godrej hrclr nupur mehendi 60g, hrclr nupur mehendi ,60g,godrej,skin care,beauty personal care,, hrclr nupur mehendi ,[]
nestle dahi a+ rich & creamy tb 200g, dahi a+ rich & creamy tb ,200g,nestle,chocolates cakes confectioneries,branded food,flavor: dahi flavor: creamy, a+ rich & tb ,['rich']
blue bird castor sugar dessert mix 200g, castor dessert mix ,200g,blue bird,salt sugar jaggery,grocery,flavor: dessert, castor mix ,"['castor', 'mix']"
nivea deo fresh power charge cn 150ml, deo fresh power charge cn ,150ml,nivea,deos perfumes,beauty personal care,, deo freh power charge cn ,"['deo', 'power', 'charge']"
sangis kitchen garlic jalepeno mayo 205g, garlic jalepeno mayo ,205g,sangi s kitchen,otc,beauty personal care,flavor: jalepeno flavor: garlic flavor: mayo, ,[]
nivea fw adc wht oil control tube 50g, fw adc wht oil control tube ,50g,nivea,skin care,beauty personal care,, fw adc wht oil control tube ,"['adc', 'oil', 'control', 'tube']"
nivea fc pure effect total clean up 50ml, fc pure effect total clean up ,50ml,nivea,skin care,beauty personal care,color: clean, fc pure effect total up ,"['pure', 'effect', 'total']"
cavendish strawberry candy 150g, strawberry candy ,150g,cavendish & harvey,chocolates cakes confectioneries,branded food,flavor: strawberry flavor: candy, ,[]
bikano abhinandan 515g, abhinandan ,515g,bikano,chips namkeens snacks,branded food,, abhinandan ,[]
gh fruit n nut cashew regular 1kg,gh fruit n nut cashew ,1kg,regular,chocolates cakes confectioneries,branded food,flavor: cashew flavor: fruit,gh n nut ,['nut']
gh pow spice coriander pp 100g,gh pow coriander pp ,100g,old spice,freshners repellents,home hygiene,flavor: coriander,gh pow pp ,['pow']
gh pow spice cumin 100g,gh pow cumin ,100g,old spice,freshners repellents,home hygiene,flavor: cumin,gh pow ,['pow']
amul kool elaichi milk 200ml, kool elaichi milk ,200ml,amul,ice cream desserts,branded food,flavor: milk type: elaichi flavor: elaichi, kool ,[]
eden eggs poultry egg pack of 6,eden s poultry pack of 6,,mpm egg,toys,toys stationery,flavor: poultry,eden s pack of 6,"['eden', 'pack']"
pedigree meat jerky bbq chicken flv 80g, meat jerky bbq chicken flv ,80g,pedigree,pet care,home hygiene,flavor: chicken flavor: meat, jerky bbq flv ,['jerky']
loreal extrordnry clay shampoo 175ml,loreal extrordnry clay shampoo ,175ml,,hair care,beauty personal care,type: shampoo,loreal extrordnry clay ,['clay']
fun foods sld drsng crcy pnut btr 340g,fun sld drsng crcy pnut btr ,340g,hr foods,toys,toys stationery,,fun ld drng crcy pnut btr ,"['fun', 'btr']"
dabur honey squeezy 1+1 225g op, honey squeezy + op,1 225g,dabur,otc,beauty personal care,flavor: honey type: honey, squeezy + op,['squeezy']
