cleaned,quantity,final_brand,class1,class2
avocado,,foco,breakfast cereals,branded food
potato low ,,sugar free,salt sugar jaggery,grocery
 kesar,,three mango,pickles chutneys,branded food
 chilli red pkd,,exo,chips namkeens snacks,branded food
chilli pikador,,hello panda,biscuits cookies crackers,branded food
chilli small ,,green brrew,sauces puree dips,branded food
yam,,yan yan,ready to eat,branded food
nilgiris belgian milk ,180ml,chocolate,chocolates cakes confectioneries,branded food
 natural cinnamon green bag ,25pcs,dilmah,tea coffee,beverages
hersheys candy kisses special dark ,340g,chocolate,chocolates cakes confectioneries,branded food
mothers rec pav bhaji mix ,100g,,baking dessert mixes,branded food
 razor mach3 turbo,,gillette,men toiletries,beauty personal care
 sour belt mixed ,57.6g,chupa chups,fruit juices drinks,beverages
 cartridge vector ,2p,gillette,men toiletries,beauty personal care
 soya mini chunks pp ,80g,nutrela,rice wheat other grains,grocery
 cheese butter ,135g,morris,biscuits cookies crackers,branded food
crmt agarbathi 2 in 00p,1 100p,,pooja needs,home hygiene
layerr deo desire shot ,135ml,deep jyoti,deos perfumes,beauty personal care
 mos crm gel ,80g,odomos,freshners repellents,home hygiene
 cough remedy ,100ml,dabur honitus,otc,beauty personal care
 tpaste rapid relief ,80g,sensodyne,oral care,beauty personal care
 choco dm roast almond ,36g,cadbury,chocolates cakes confectioneries,branded food
 health drink sachet ,75g,boost,soft drinks,beverages
 tetley super boost green ,10pcs,tata tea,tea coffee,beverages
ph masoor whole pp ,500g,,dals pulses,grocery
ph moong whole pp ,1kg,green brrew,pickles chutneys,branded food
 gol gappe papad ,100g,easy choice,ready to fry,branded food
 frzn snk potato cheese shotz ,250g,mccain,frozen veg,branded food
 talc lavender + ,1 300g,premium,chocolates cakes confectioneries,branded food
 diet drink ,300ml,coca cola,soft drinks,beverages
 prime time fruity buns,,bonn,stationery,toys stationery
gh prime who khus khus pp ,100g,old spice,ice cream desserts,branded food
 yumm veggie stx combi pck pp ,3*60g,too yumm!,toys,toys stationery
ghpr chana pp ,500g,green brrew,masala spices,grocery
fun garlic mayonnaise ,275g,hr foods,jams spreads honey,branded food
 spicy plum chutney ,460g,bhuira,chips namkeens snacks,branded food
sugarfree natura sugar ,75g,diet,organic flours,grocery
 chocolate jar ,200g,pediasure,health drinks,beverages
mint,,smint,chocolates cakes confectioneries,branded food
cavins butterscotch milk shake ,1l,,soft drinks,beverages
 weet bean laddu box ,336g,haldiram s,chips namkeens snacks,branded food
 mexican khari munchies ,150g,baker street,chips namkeens snacks,branded food
 deo act regal bx 120ml,4x imp,park avenue,deos perfumes,beauty personal care
 cream ,100g,odomos,jams spreads honey,branded food
 dhoop tick delux tick,20 s,pratha,toys,toys stationery
 oth pooja haldi ,50g,pratha,toys,toys stationery
swiss tmpl purifying fc ws tb ,50ml,deep jyoti,skin care,beauty personal care
 oth snack tomato discs ,75g,peppy,sauces puree dips,branded food
 tl pwr pls 500m+bath cln op,500ml,harpic,home cleaning,home hygiene
 soft grip comb & brush set ,2p,puretta,toys,toys stationery
 coconut cookies pp ,200g,americana,chocolates cakes confectioneries,branded food
 vegetable pulav ,250g,mtr,ready to eat,branded food
" rava dosa breakfast mix, ",500g,mtr,ready mixes,grocery
" instant rava idli mix, ",500g,mtr,ready to eat,branded food
 fw neem kit,,himalaya,baby care,baby care
 coconut water 100% natural ,500 ml,foco,fruit juices drinks,beverages
 pickle mixed 1k,,pravin,pickles chutneys,branded food
 gluten free namakpara pp ,300g,wheafree,stationery,toys stationery
hi milk candy,,candyman,chocolates cakes confectioneries,branded food
 cream strawberry pop candy ,8g,alpenliebe,chocolates cakes confectioneries,branded food
gh poha avalakki medium ,500g,,toys,toys stationery
 gd wonderfull btr almnd pp ,30g,britannia,biscuits cookies crackers,branded food
britania shbh kamna mita nm dlt p,400g g,britannia,biscuits cookies crackers,branded food
 basmati rice classic pp ,1kg,india gate,organic grains,grocery
 bri utensil srb spng wpe l pk 3,,3m scotch,stationery,toys stationery
 bri utensl srb scrb gnrl pur3*4,,3m scotch,chocolates cakes confectioneries,branded food
 mango & chana pickle ,110g,nature s treat,pickles chutneys,branded food
 agarbathi 3 in sic bx 38g,1 clas,cycle,pooja needs,home hygiene
boiled sweet corn kernels,,american garden,noodles pastas vermicelli,branded food
sweet corn bhutta,,sunsweet,ready to eat,branded food
l-wheat lokwan b,,,chips namkeens snacks,branded food
 shmp smooth silky ,80ml,pantene,hair care,beauty personal care
 readymix meat bx ,100g,catch,masala spices,grocery
 junior 4-5- inal box 500g,6 orig,horlicks,health drinks,beverages
 wfr tomato madness pp ,45g,bingo,chips namkeens snacks,branded food
 500m,,kinley,mineral water soda,beverages
 choco fr bt ,750g,nutella,chocolates cakes confectioneries,branded food
apple rose pack,,,fruit juices drinks,beverages
passion ,,fruit,fruit juices drinks,beverages
 g sld dresng ranch bt ,227g,american garden,jams spreads honey,branded food
 wfr tangy tomato ,85g,parle,biscuits cookies crackers,branded food
 hing peda ,200g,patanjali,jams spreads honey,branded food
 conditioner protien ,100g,patanjali,hair care,beauty personal care
mapro strawberry fruit chew ,150g,falero,fun drink mix,beverages
 liq oxy action ,180ml,vanish,mineral water soda,beverages
 bura ,500g,uttam,salt sugar jaggery,grocery
typhoo bag lemon & lime zest ,25pcs,tata tea,tea coffee,beverages
brinjal nag,,ambi pur,freshners repellents,home hygiene
kakdi safed,,kanodia,toys,toys stationery
apple ,,golden harvest,baking dessert mixes,branded food
 coconut,,nice time,skin care,beauty personal care
 strawberry party pack,700 ml,kwality walls,ice cream desserts,branded food
 body perfume power bt ,122ml,he,deos perfumes,beauty personal care
 cocoa almond pread ,135g,hershey s,jams spreads honey,branded food
 litchi twirl juice ,1l,tropicana,fruit juices drinks,beverages
 coffee caramel milk ,180ml,nilgiris,chocolates cakes confectioneries,branded food
ghpr yelow peas pp ,500g,,stationery,toys stationery
 shampoo anti fall bt ,340ml,kesh king,hair care,beauty personal care
 csd cans gp,6*300ml,coca cola,soft drinks,beverages
 digestive lemon ,100g,eno,otc,beauty personal care
 jamun joy juice ,1l,b natural,fruit juices drinks,beverages
 mix jelly strawberry ,90g,weikfield,baking dessert mixes,branded food
"eat anytime healthy enery - choco peanut butter, m",38 g,yoga bar,chocolates cakes confectioneries,branded food
 orange powder concentrate ,100g,rasna,jams spreads honey,branded food
 choc swiss classic milk hazelnut ,100g,lindt,chocolates cakes confectioneries,branded food
 sizzling jalepeno nacho crisps ,60g,colonel & co,chips namkeens snacks,branded food
lion desrt king cup dates ,200g,fruit,dry fruits,grocery
abbies pizza sauce ,397g,,sauces puree dips,branded food
 complete vanilla jr ,400g,pediasure,health drinks,beverages
chings oats snacky manchow pp ,25g,,ready to eat,branded food
 ,750ml,fanta,chocolates cakes confectioneries,branded food
 toilet clen active plus pp ,500ml,clmt,home cleaning,home hygiene
 sandwich biscuit ,50g,oreo,biscuits cookies crackers,branded food
 bkg nd pow ,100g,rex,toys,toys stationery
 utensl bar container pack,4*250g,clmt,chocolates cakes confectioneries,branded food
 biscuts vanilla pp ,300g,oreo,biscuits cookies crackers,branded food
fun s cake mix ,250g,chocolate,baking dessert mixes,branded food
 dry max ult thn all night ,28p,stayfree,freshners repellents,home hygiene
fun mayonnaise burger eggless ,275g,hr foods,jams spreads honey,branded food
loreal hrclr 3.1 undy,6 burg,,hair care,beauty personal care
 colour nat hrclr black shade no 1 60m,,garnier,skin care,beauty personal care
 chyawanprash ,1kg,dabur,otc,beauty personal care
karachi fruit ,,premium,biscuits cookies crackers,branded food
 wah card 20,265 s,,stationery,toys stationery
 gifting box ,500g,sunfeast,biscuits cookies crackers,branded food
b tb cavity defense black soft ,4p,,oral care,beauty personal care
 corn dahaliya ,500g,24 mantra,organic flours,grocery
 m masoor maka pp 500g,24 l,,stationery,toys stationery
 etter wheat bran pp 500g,24 l,24 mantra,organic grains,grocery
f&p instant gb ,25g,pure derm,tea coffee,beverages
 youth infinity firmin niht creme ,50 g,lakme,skin care,beauty personal care
 khakhra mobile methi maala ,180g,jalaram food s,masala spices,grocery
" jewel sindoor, maroon, ",5 ml,lakme,skin care,beauty personal care
 c&l multivitamin pp ,102g,super gummy,otc,beauty personal care
 sunscreen sun expert uva+++100m,50p,lakme,skin care,beauty personal care
 winterfrost ipl pp ,4.4g,orbit,chocolates cakes confectioneries,branded food
 readymix chole bx ,50g,badshah,toys,toys stationery
 infant advance stage 2 bx ,400g,similac,toys,toys stationery
 weet white rabhari cn ,500g,haldiram s,chips namkeens snacks,branded food
 environmental defenc shmpo bt ,180ml,dove,hair care,beauty personal care
 spread carrot & cucumber bt ,280g,veeba,jams spreads honey,branded food
 sauce pizza topping bt ,310g,veeba,sauces puree dips,branded food
 shmpoo anti-dandruff ,180ml,pure derm,hair care,beauty personal care
 kaju pista 300m,300g,g bakers,chocolates cakes confectioneries,branded food
 bread - healthy whole wheat 400,,g bakers,masala spices,grocery
 bdy crm rich cocoa btr tb ,200ml,himalaya,otc,beauty personal care
bhpc edt men ,1 50ml,ritter sport,deos perfumes,beauty personal care
bhpc deo 1 men cn ,175ml,ritter sport,deos perfumes,beauty personal care
,,maggi,noodles pastas vermicelli,branded food
 original tin ,400g,protinex,health drinks,beverages
 mosquto coil low smoke 12hr,,good knight,freshners repellents,home hygiene
 khus essence ,20ml,flying bird,masala spices,grocery
 soup vegetable chilli pepper ,15g,maggi,noodles pastas vermicelli,branded food
nestle nesquik ,500gms,chocolate,chocolates cakes confectioneries,branded food
cream biscuit bourbon 4 fun,,,biscuits cookies crackers,branded food
choco truffel,,chocolate,chocolates cakes confectioneries,branded food
 rich plum cake ,50g,nilgiris,chocolates cakes confectioneries,branded food
 sauce fish bt ,200ml,pantai,sauces puree dips,branded food
gh groundnut ,1kg,,frozen veg,branded food
gh bhagar ,500g,,chocolates cakes confectioneries,branded food
gh khadi m,100g,sugar free,salt sugar jaggery,grocery
 cereal wheat rice mix veg ,300g,cerelac,flours sooji,grocery
gh daily pow spice white pepper ,100g,mr.white,skin care,beauty personal care
gh who nylon til ,200g,old spice,freshners repellents,home hygiene
 perfume spray w3 woman bt ,120ml,engage,deos perfumes,beauty personal care
 deo fresh active 150m,,nivea,deos perfumes,beauty personal care
 hrclr nupur mehendi ,60g,godrej,skin care,beauty personal care
 dahi a+ rich & creamy tb ,200g,nestle,chocolates cakes confectioneries,branded food
 castor dessert mix ,200g,blue bird,salt sugar jaggery,grocery
 deo fresh power charge cn ,150ml,nivea,deos perfumes,beauty personal care
 garlic jalepeno mayo ,205g,sangi s kitchen,otc,beauty personal care
 fw adc wht oil control tube ,50g,nivea,skin care,beauty personal care
 fc pure effect total clean up ,50ml,nivea,skin care,beauty personal care
 strawberry candy ,150g,cavendish & harvey,chocolates cakes confectioneries,branded food
 abhinandan ,515g,bikano,chips namkeens snacks,branded food
gh fruit n nut cashew ,1kg,regular,chocolates cakes confectioneries,branded food
gh pow coriander pp ,100g,old spice,freshners repellents,home hygiene
gh pow cumin ,100g,old spice,freshners repellents,home hygiene
 kool elaichi milk ,200ml,amul,ice cream desserts,branded food
eden s poultry pack of 6,,mpm egg,toys,toys stationery
 meat jerky bbq chicken flv ,80g,pedigree,pet care,home hygiene
loreal extrordnry clay shampoo ,175ml,,hair care,beauty personal care
fun sld drsng crcy pnut btr ,340g,hr foods,toys,toys stationery
 honey squeezy + op,1 225g,dabur,otc,beauty personal care
naturefresh kchi ghni mustrd bt ,1l,,edible oil ghee,grocery
 soybean pp ,1l,nature fresh,organic edible oil fats,grocery
naturefresh chakki atta pp ,10kg,,breakfast cereals,branded food
 roasted dalia ,500g,tip top,noodles pastas vermicelli,branded food
 plain salted ,55g,uncle chipps,chips namkeens snacks,branded food
 mango ,1l,frooti,breakfast cereals,branded food
 jam tropical blast bottle ,320g,kissan,jams spreads honey,branded food
 diaper actv lrg ,78p,pampers,baby care,baby care
 baking powder ,50g,weikfield,masala spices,grocery
 orange lemon lime juice ,300ml,sunkist,fruit juices drinks,beverages
 pasta tomato salsa pp ,64g,weikfield,sauces puree dips,branded food
mamy poko pants diaper med 42p,40p,baby,baby care,baby care
 complete & balanced vanilla box ,750g,pediasure,health drinks,beverages
 ecret,,ching s secret,noodles pastas vermicelli,branded food
 ecret mixed vegetable intant oup ,30g,ching s secret,noodles pastas vermicelli,branded food
 skin crm korean pink pearl tb ,50g,citra,home cleaning,home hygiene
 pants s1,,mamypoko,baby care,baby care
frish samosa patti pp ,190g,frozen,frozen veg,branded food
 milk cream biscuit ,50g,hello panda,biscuits cookies crackers,branded food
 amla aloevera litchi ,65ml,patanjali,otc,beauty personal care
 lemon honey facewash ,60g,patanjali,skin care,beauty personal care
lays indian magic masala party flavour ,177g,,chips namkeens snacks,branded food
 chicken n cheese balls pp ,250g,zorabian,chips namkeens snacks,branded food
nilons pickle mixed poly pack ,200g,,pickles chutneys,branded food
 gel rugged hold ,100g,park avenue,hair care,beauty personal care
 plain chyawanprash jr ,1kg,patanjali,otc,beauty personal care
 gel wet look ,100g,park avenue,hair care,beauty personal care
 nat khat biscuit ,40g,patanjali,biscuits cookies crackers,branded food
 fruit con plus pineajrle jr ,500g,rasna,fun drink mix,beverages
lindt swiss dark ,100g,chocolate,chocolates cakes confectioneries,branded food
 olive herb nacho salsa ,75g,colonel & co,chips namkeens snacks,branded food
lion deseeded dates cup ,200g,fruit,dry fruits,grocery
 ecret manchow oup ,55g,ching s secret,noodles pastas vermicelli,branded food
 cheese emmentaler pp ,130g,lactima,chips namkeens snacks,branded food
 utsav pineapple powder concentrate asses,32 gl,rasna,masala spices,grocery
 complete chocolate jr ,400g,pediasure,health drinks,beverages
abbies tuna chunks sunflower tn ,185g,,edible oil ghee,grocery
brijnandan ni namk raj pp ,100g,moti,toys,toys stationery
 sft drnk cola bt ,2l,xalta ,toys,toys stationery
 choco exc dark sea salt ,100g,lindt,chocolates cakes confectioneries,branded food
 sc natural white fairness uv bx ,20g,olay,skin care,beauty personal care
 crm pet jelly ,20g,vaseline,skin care,beauty personal care
 green ,100g,lipton,tea coffee,beverages
 sweet corn ,200g,safal,ready to eat,branded food
 intensive deep restore body lotion ,40 ml,vaseline,skin care,beauty personal care
 intensive cocoa glow body lotion ,40 ml,vaseline,skin care,beauty personal care
 oats masala veggie twist pp ,400g,saffola,breakfast cereals,branded food
 digestive hajmola regular,120p,dabur,chips namkeens snacks,branded food
 methi mathi namkeen ,200g,foodex,chocolates cakes confectioneries,branded food
orea tota repair erum 40m,5 s,l oreal paris,otc,beauty personal care
 sonachand chyawnprash plus jr ,450g,zandu,toys,toys stationery
yogabar choco varity pack 228g,6pcs,,chocolates cakes confectioneries,branded food
 soup winter vegetables ginger ,15g,maggi,noodles pastas vermicelli,branded food
 gravymix vegetable cubes ,40g,maggi,noodles pastas vermicelli,branded food
 shmp perfect balance bt ,400ml,bblunt,deos perfumes,beauty personal care
 grow malt bib,400g,protinex,chocolates cakes confectioneries,branded food
 premix masala box ,10*14g,wagh bakri,tea coffee,beverages
 kool badam shake ,180ml,amul,frozen veg,branded food
 sea salt rinder bottle ,100 g,golden harvest,masala spices,grocery
 instant premix masala ,140g,girnar,tea coffee,beverages
 royal cup ,250g,girnar,tea coffee,beverages
tar choco 3d pp 45g,5s,cadbury,chocolates cakes confectioneries,branded food
 fuse value pack pp ,3*45g,cadbury,chocolates cakes confectioneries,branded food
 hairoil almond drop ,100ml,bajaj,chocolates cakes confectioneries,branded food
mothers rec chicken moghalai mix ,80g,,baking dessert mixes,branded food
mothers rec pastes garlic ,100g,,sauces puree dips,branded food
 ago papad ,75g,mother s recipe,ready to fry,branded food
 naked sea salt ,47g,kettle studio,chips namkeens snacks,branded food
kelloggs cornflakes honey box ,630g,real,noodles pastas vermicelli,branded food
 namkeen chana jor ,200g,haldiram s,chips namkeens snacks,branded food
 namkeen punjabi tadka ,200g,haldiram s,chips namkeens snacks,branded food
 large white egg ack,6 p,hen fruit,chocolates cakes confectioneries,branded food
 jaggery kolhapur m,800g,ektaa,chocolates cakes confectioneries,branded food
 kh dhokla mix pp ,200g,desi atta company,masala spices,grocery
 modak pp ,500g,desi atta company,ready to eat,branded food
 long ev mixture ,200g,haldiram s,chips namkeens snacks,branded food
aer pocket tangy+valy+misty ,3*10g,,freshners repellents,home hygiene
aer freshnr car petal crush pink bx ,45g,,freshners repellents,home hygiene
 pow spice chilli pp ,500g,aashirvaad,masala spices,grocery
 weet panjeeri ladoo bx ,400g,haldiram s,chips namkeens snacks,branded food
 choc bournvile rich cocoa ,31g,cadbury,chocolates cakes confectioneries,branded food
 pow spice chinese seasoning ,50g,keya,masala spices,grocery
amrutnjn pain rollon,,amrutanjan,otc,beauty personal care
 yumm vge stix chilly chataka pp ,30g,too yumm!,otc,beauty personal care
 readymix chana ,100g,ashok,chips namkeens snacks,branded food
ttrt french fries pp ,1kg,frozen,frozen veg,branded food
" shoot, apple & blueberry ",300ml,robinsons,fruit juices drinks,beverages
" shoot, mango ",300ml,robinsons,fruit juices drinks,beverages
 powder concentrate jaljira ,100g,jalani,masala spices,grocery
 agrbti mutha vibhuti exhibt ,200g,pratha,toys,toys stationery
jalaram khakhra mobile methi ,180g,diet,organic flours,grocery
jalaram khakhra mobile sada ,180g,diet,organic flours,grocery
 cheesy jalapeno sauce ,100g,wingreens,sauces puree dips,branded food
 phenyls jasmine ,5l,clmt,mineral water soda,beverages
 floor cleaner jasmine bt ,500ml,clmt,home cleaning,home hygiene
 namkeen mrk mas ,180g,rajam,chips namkeens snacks,branded food
 dm silk mocha caramello ,60g,cadbury,chocolates cakes confectioneries,branded food
cadbury dairy milk ,52g,chocolate,chocolates cakes confectioneries,branded food
 jaljeera juice ,250ml,paper boat,fruit juices drinks,beverages
 navratan mixture namkeen ,1kg,bikano,chips namkeens snacks,branded food
 det bar ,95g,surf excel,laundry,home hygiene
 b spr pink 200m,,royal mirage,oral care,beauty personal care
whole olive ,450g,green brrew,pickles chutneys,branded food
 chinese chilli,,knorr,ready to eat,branded food
 heal repair cream ,25g,krack,hair care,beauty personal care
gh prime finger millet pp ,500g,,breakfast cereals,branded food
gh prime rajma sharmli pp ,500g,,frozen veg,branded food
gh prime urad whole black pp ,500g,,baby food,baby care
 talc + ,1 300g,premium,skin care,beauty personal care
 hw foaming lime&mint bt ,500ml,palmolive,skin care,beauty personal care
ph who big sauf ,100g,old spice,freshners repellents,home hygiene
 anti marks turmeric face cream ,25g,lever ayush,skin care,beauty personal care
 dahi 2 ,00 cup,vita,chocolates cakes confectioneries,branded food
 talc face powder bx ,70g,white tone,skin care,beauty personal care
 readymix chole bx ,100g,everest,masala spices,grocery
 mishti doi ,400g,mother dairy,chocolates cakes confectioneries,branded food
 butter scotch cone ,100ml,mother dairy,frozen veg,branded food
 butter scotch ,1500 ml,mother dairy,chocolates cakes confectioneries,branded food
 chi jumbo hot dog m,500g,meatzza,pet care,home hygiene
mtza chick seekh kabab m,250g,,oral care,beauty personal care
natures amla candy anardana ,200g,easy choice,otc,beauty personal care
hr groundnut chikki ,400g,,frozen veg,branded food
hr gur,,hair & care,hair care,beauty personal care
 kimi jr ,200g,nature s choice,organic flours,grocery
 dry frt cahew jr ,200g,nature s choice,otc,beauty personal care
 shubh kamnaye dry fruit delight ,800g,britannia,chocolates cakes confectioneries,branded food
 brown ,1kg,mother earth,rice wheat other grains,grocery
 mustard seeds ,100g,mother earth,cooking paste,grocery
bonn bake butter pp ,400g,royal,biscuits cookies crackers,branded food
ttrt pasta fusilli pp ,500g,,noodles pastas vermicelli,branded food
ttrt tomato ketchup nog bt ,500g,,sauces puree dips,branded food
 snackmix sambar mix ,100g,gits,masala spices,grocery
 kachi ghani mustard bt ,500ml,engine,edible oil ghee,grocery
 coconut water with pink guava ,500ml,foco,fruit juices drinks,beverages
 cond climate control bt ,90ml,tresemme,hair care,beauty personal care
 candies mint flav ,31.2 g,mentos,chocolates cakes confectioneries,branded food
 multigrain atta pp ,5kg,aashirvaad,flours sooji,grocery
 flash guard pp ,10p,all out,freshners repellents,home hygiene
 mixed pickle ,400g,chhagan magan,pickles chutneys,branded food
 matchbox large ,240p,homelites,toys,toys stationery
 poha intant mix ,160g,mother s recipe,cooking paste,grocery
 liq polish instant wax shine bl 75m,,kiwi,stationery,toys stationery
 soyabean refined pp ,1l,agripure,edible oil ghee,grocery
 velvet touch bar ,66 g,lux,skin care,beauty personal care
j&j oil avocado ,200ml,baby,hair care,beauty personal care
 talc elegance tn ,250g,yardley london,skin care,beauty personal care
 plax mouthwash peppermint 250m,,colgate,oral care,beauty personal care
 tpaste senst original + ,1 80g,colgate,oral care,beauty personal care
 shmp dryness hydration bt ,400ml,nyle,hair care,beauty personal care
 soap glycerine ,3*75g,santoor,skin care,beauty personal care
 readymix rasam bx ,100g,everest,masala spices,grocery
 cheese natural cream tub ,150g,arla,biscuits cookies crackers,branded food
 non snck chikn pln keem ,250g,venkys,frozen veg,branded food
cop kolam eco ,,loose,rice wheat other grains,grocery
 wonderful copenhagen tn ,150g,jacobsens,toys,toys stationery
 dried blueberries ,100g,karmiq,frozen veg,branded food
 det pow ,1kg,ghari,toys,toys stationery
 olive pomace tn ,5l,karmiq,edible oil ghee,grocery
 sauce no onion garlic ,200g,kissan,sauces puree dips,branded food
brijnandan madrasi mixture ,400g,namkeen tree,chips namkeens snacks,branded food
 utsav kala khatta fruit concentrate ses,32glas,rasna,chocolates cakes confectioneries,branded food
ensure hlth drnk jr m,400g,chocolate,chocolates cakes confectioneries,branded food
 kool elaichi milk bottle ,200ml,amul,ice cream desserts,branded food
 prolife sweet lassi ,200ml,amul,ice cream desserts,branded food
 nutr flavoured milk ,200ml,amul,ice cream desserts,branded food
gh who alsi ,100g,old spice,freshners repellents,home hygiene
gh dry dates n nut pp ,200g,fruit,chocolates cakes confectioneries,branded food
 cereal wheat apple ,300g,cerelac,baby food,baby care
 yogurt greek blueberry cup ,90g,epigamia,toys,toys stationery
 yogurt green apple cup,,epigamia,sauces puree dips,branded food
tur dal ,2kg,premium,biscuits cookies crackers,branded food
 m who fax seed pp 200g,24 l,old spice,stationery,toys stationery
 m urad da pp 500g,24 l,,stationery,toys stationery
 hairpin u shaped large po 60,,ts,home cleaning,home hygiene
 populr detergnt cake 250g,240g,patanjali,otc,beauty personal care
 nat khat biscuit ,80g,patanjali,biscuits cookies crackers,branded food
 bourbon biscuit ,150g,parle,biscuits cookies crackers,branded food
 chyawanprash saffron jar ,1kg,patanjali,jams spreads honey,branded food
 amla murabba jar ,1kg,patanjali,otc,beauty personal care
 cornflake plu with almond & ,300g,bagrry s,jams spreads honey,branded food
 barik aunf pp ,100g,sangi s kitchen,toys,toys stationery
 dw shower gel lmngr&jojo clsp 250m,,fiama di wills,skin care,beauty personal care
 radiant shine shampoo ,180 ml,sunsilk,hair care,beauty personal care
mayb lip smooth balm kiss ,4.5g,cherry,skin care,beauty personal care
 natura powder ,100g,sugar free,salt sugar jaggery,grocery
 choco cashew orange ,38g,yoga bar,chocolates cakes confectioneries,branded food
 dessertmix cus kesar elaichi ,100g,tops,toys,toys stationery
 chicken plain salami pp ,500g,delicious,ready to eat,branded food
 mintensity ,13g,tic tac,chocolates cakes confectioneries,branded food
 butter ,500g,verka,chocolates cakes confectioneries,branded food
 cow jr ,1l,gowardhan,edible oil ghee,grocery
 chikki ,200g,shakti,chocolates cakes confectioneries,branded food
 gold caramel toffee ,156.4g,alpenliebe,chocolates cakes confectioneries,branded food
 chicken ,85g,koka,noodles pastas vermicelli,branded food
 cheese spice ip slice tub ,200g,go,chips namkeens snacks,branded food
 battery red 1012 aaa ,2p,eveready,otc,beauty personal care
 rock refill pack pp ,100g,tata,salt sugar jaggery,grocery
 ltn sumer fresh ,250ml,parachute advansed,hair care,beauty personal care
 soya milk natural ,1l,sofit,mineral water soda,beverages
 soya milk natural ,1l,sofit,mineral water soda,beverages
 pow spice coriander pp ,250g,eastern,masala spices,grocery
 spearmint blister pp ,4.4g,orbit,chocolates cakes confectioneries,branded food
 coarse mota besan pp ,500g,desi atta company,chocolates cakes confectioneries,branded food
 tpst total charcoal dp cln ,120g,colgate,oral care,beauty personal care
kelloggs cornflakes original ,875g,,noodles pastas vermicelli,branded food
kelloggs cornflakes crunchy bites ,390g,,breakfast cereals,branded food
kelloggs cornflakes chocos duet ,375g,,stationery,toys stationery
 mini bhakarwadi namkeen ,200g,haldiram s,chips namkeens snacks,branded food
 soyabean pp ,1l,fresh & pure,edible oil ghee,grocery
 natural honey ,1kg,fresh & pure,hair care,beauty personal care
 papad punjabi masala pp ,200g,dnv,ready to fry,branded food
 pickle lime pp ,200g,pravin,pickles chutneys,branded food
 red chilli thecha pp ,100g,pravin,pickles chutneys,branded food
 candies happy cola original ,100g,haribo,toys,toys stationery
 ketchup tomato swt&spcy pp ,1kg,del monte,sauces puree dips,branded food
 gum strawberry twist bar 34,14p,trident,chocolates cakes confectioneries,branded food
 who spice freeze dried mint ,7g,keya,masala spices,grocery
 juice zesty tomato bt ,300ml,sunkist,fruit juices drinks,beverages
 hw happy foam pp ,200ml,protekt,oral care,beauty personal care
 fresh tomato ketchup ,950g,kissan,sauces puree dips,branded food
 zingy tomato potato ,110g,pringles,chips namkeens snacks,branded food
 pants new ,20p,pampers,baby care,baby care
 diaper active m ,3 20p,pampers,baby care,baby care
 absolute perfect radiance lihtenin day creme ,15 g,lakme,skin care,beauty personal care
 khakhra mobile pav bhaji ,180g,jalaram food s,otc,beauty personal care
lays spanish tangy tomato wafers ,26g,,chips namkeens snacks,branded food
 agrbt bliss aroma lavender bx ,40g,pratha,stationery,toys stationery
 thai weet chili bt ,220g,sangi s kitchen,sauces puree dips,branded food
 bdy ltn pmp rose argn oil bt ,200ml,nivea,skin care,beauty personal care
 passion dry shield deodorant ,25 ml,sure,deos perfumes,beauty personal care
 disp garbage bags 40mic ,30p,clmt,baby care,baby care
 toilet clen active plus ,3*500ml,clmt,home cleaning,home hygiene
 room fresh passion fruit gel ,75g,odonil,freshners repellents,home hygiene
 apple juice ,2l,tasty treat,fruit juices drinks,beverages
 pow spice kashmiri chilli ,100g,mdh,masala spices,grocery
 khaman dhokla ,180g,gits,toys,toys stationery
 apple nectar juice ,200ml,real,fruit juices drinks,beverages
ever yuth fw advnc gldn glw peel off ,50g,,toys,toys stationery
 crm premium vanilla ,1l,london dairy,ice cream desserts,branded food
eaymax cotton bud tick zip pouch,80 s,,otc,beauty personal care
 digestive l ,100g,eno,biscuits cookies crackers,branded food
 d&n milk cream 315m,,bio care,skin care,beauty personal care
 juice apple honey ginger pet bottle ,300ml,sunkist,fruit juices drinks,beverages
 spaghetti no. ta 500g,03 pas,agnesi,noodles pastas vermicelli,branded food
 falooda mix rose ,200g,weikfield,sauces puree dips,branded food
 nectar punjada kinow tp ,200ml,b natural,otc,beauty personal care
 chicken cocktail sausages ,300g,venkys,ready to eat,branded food
 snscrn antitan lmn spf25 op,2*150ml,vlcc,skin care,beauty personal care
 salad dressing salad cream ,250ml,remia,jams spreads honey,branded food
 clnr magic sponge ,2p,prim,chocolates cakes confectioneries,branded food
 dessertmix gulabjabun ,500g,gits,toys,toys stationery
ttrt bisc magic crm vanilla pp ,120g,real,fruit juices drinks,beverages
 tf smile joy twin pp ,10g,odonil,freshners repellents,home hygiene
 fcws pimple clear men 50m,,swiss tempelle,skin care,beauty personal care
 tmp bw jcy frt&fs ol swr gl bt250m,,swiss tempelle,toys,toys stationery
 lipstick vivid orane m,4 g,temper,toys,toys stationery
 mosquito crm repellent spray 100m,,odomos,freshners repellents,home hygiene
 cassata,,kwality walls,ice cream desserts,branded food
twinnings bag lemon ,25p,tata tea,tea coffee,beverages
waffy rolls strawberry,,,chocolates cakes confectioneries,branded food
 first harvest dawn jar ,50g,nescafe,tea coffee,beverages
 max protein namkeen cheese & jalapeno ,120g,ritebite,chips namkeens snacks,branded food
