article_name,quantity,brand,function,type-flavour-colour,misc
g bakers garlic bread stick 180 gm,180 gm,g bakers,otc | beauty personal care,flavor:bread,"bread,stick"
g bakers soup stick 100 gm,100 gm,g bakers,stationery | toys stationery,flavor:soup,"soup,stick"
godrej expert hrcl dark brown 4.06 kit,,godrej,skin care | beauty personal care,color:brown color:dark,"expert,dark,brown,4.06,kit"
nivea lip care cherry shine 4.8g,4.8g,cherry,skin care | beauty personal care,,"nivea,lip,hine"
exo sweet corn,,exo,ready to eat | branded food,flavor:corn,"sweet,corn"
sengari beans,,clean & clear,skin care | beauty personal care,flavor:beans,beans
sardine whole,,home alone,chocolates cakes confectioneries | branded food,,whole
catla big,,gala,cleaning accessories | home hygiene,,big
huggies premium pants medium boy 30s,30s,premium,baby care | baby care,type:pants,"pants,medium,boy"
vicco skin crm turmeric 30g,30g,vicco,skin care | beauty personal care,flavor:turmeric,turmeric
dettol dw slab gel lemon fresh pp 130ml,130ml,dettol,personal hygiene | beauty personal care,type:gel flavor:lemon,"slab,gel,lemon,fresh"
organic tattva ajwain seeds jr 100g,100g,organic tattva,organic spices | grocery,flavor:ajwain flavor:seeds,seeds
org tattva rajma red pp 500g,500g,organic tattva,organic pulses | grocery,flavor:rajma color:red,"org,red"
weikfield dessertmix jelly rasberry 90g,90g,weikfield,chocolates cakes confectioneries | branded food,flavor:rasberry flavor:jelly,jelly
b natural juice pineapple poise tp 1l,1l,b natural,fruit juices drinks | beverages,flavor:pineapple flavor:juice,"juice,pineapple,poise"
creamfills butter toffee candy,,,chocolates cakes confectioneries | branded food,flavor:candy flavor:toffee flavor:butter,"butter,toffee,candy"
verka ghee 1 lt tetra,1 l,verka,fruit juices drinks | beverages,flavor:ghee,"ghee,tetra"
patanjali fw neem&tulsi tube 60g,60g,patanjali,otc | beauty personal care,,tube
maggi hot heads green chilli noodles 71g,71g,maggi,noodles pastas vermicelli | branded food,flavor:chilli color:green color:hot,"hot,heads,green,chilli"
sunsilk cond thick&long nourshng 80ml,80ml,sunsilk,hair care | beauty personal care,,
goodknight advs exps system 1machn+1cart,1m,good knight,freshners repellents | home hygiene,,"adv,exp"
flying bird butter scotch essence 20ml,20ml,flying bird,masala spices | grocery,flavor:butter,"butter,scotch,essence"
bounty chocolate bar 57g,57g,chocolate,chocolates cakes confectioneries | branded food,,"bounty,bar"
priya gold orange smiley cream biscuit 500g,500g,priyagold,biscuits cookies crackers | branded food,flavor:orange flavor:cream color:orange type:cream,"gold,orange,smiley,cream,biscuit"
bhikharam chandmal chana papad 200g,200g,bhikharam chandmal,ready to fry | branded food,flavor:chana flavor:papad,
bauli moonfils orange cake 45g,45g,bauli,chocolates cakes confectioneries | branded food,flavor:orange color:orange,"orange,cake"
ponds fw pure wht facl foam 2+1 100g op,1 100g,ponds,skin care | beauty personal care,,"pure,foam"
ponds skin crm moistrsng cold crm 55m,55m,ponds,skin care | beauty personal care,,cold
olicoop green olive stuffed 450g,450g,olicoop,edible oil ghee | grocery,flavor:olive color:olive color:green,"green,olive,stuffed"
listrine coolmint 250ml,250ml,,chocolates cakes confectioneries | branded food,,
gatorade lemon 500ml,500ml,gatorade,soft drinks | beverages,flavor:lemon,lemon
lovely bakery almond roasted cookies 75g,75g,lovely bakery,biscuits cookies crackers | branded food,flavor:roasted flavor:almond,"almond,roasted"
lotte cream biscuit choco pie 168g,168g,lotte,biscuits cookies crackers | branded food,flavor:cream type:cream flavor:choco,"cream,biscuit,pie"
glide razor grace women 2up,2up,glide,stationery | toys stationery,,"razor,grace,women"
capilano honey 500g,500g,capilano,jams spreads honey | branded food,,
moshes bread bagel,,moshes,mineral water soda | beverages,flavor:bread flavor:bagel,bread
hart beat candy love corazon 150g,150g,hartbeat,chocolates cakes confectioneries | branded food,flavor:candy,"hart,beat,candy,love,corazon"
mothers rec papad applam 100g,100g,mothers recipe,ready to fry | branded food,flavor:papad,rec
tong garden snk party snack pp 180g,180g,tong garden,stationery | toys stationery,,party
lotte cands coffy bite eclairs pp 471.9g,471.9g,lotte,chocolates cakes confectioneries | branded food,flavor:eclairs,bite
kokam raj liq conc kairi panhe 1l,1l,,toys | toys stationery,,"raj,conc"
arohi papad poha 200gm,200gm,arohi,ready to fry | branded food,flavor:poha flavor:papad,
trident splash gum hypermint 17.1g,17.1g,trident,soft drinks | beverages,,gum
trident splash gum citrus backbery 17.1g,17.1g,trident,home cleaning | home hygiene,flavor:citrus,"splash,gum,citrus"
tetley tea bag masala 50pcs,50pcs,tetley,tea coffee | beverages,type:bag,"bag,masala"
borges mini fusilli pasta 350g,350g,borges,noodles pastas vermicelli | branded food,flavor:fusilli flavor:pasta,"mini,pasta"
girnar instant premix variety tea 210g,210g,girnar,tea coffee | beverages,,variety
paper boat juice assorted 3*250ml gp,3*250m,paper boat,fruit juices drinks | beverages,flavor:juice,"juice,assorted"
& stirred coktail mx lmn mnt mjto 125ml,125ml,& stirred,otc | beauty personal care,,
kurkure navratan mixture namkeen 175g,175g,kurkure,chips namkeens snacks | branded food,flavor:namkeen,mixture
gh daily juwar standard 1kg,1kg,golden harvest,freshners repellents | home hygiene,,daily
snickers chocolate bar 25g,25g,chocolate,chocolates cakes confectioneries | branded food,,bar
gh kurmura murmura bhadang pp 200g,200g,golden harvest,chocolates cakes confectioneries | branded food,,
gh dry fruit cashew & raisin 475g gp,475g g,fruit,chocolates cakes confectioneries | branded food,flavor:cashew flavor:raisin,"dry,cashew,raisin"
fair & lovely advanced multi vitamin spf 20 face cream pump tube 30 g,30 g,fair & lovely,skin care | beauty personal care,flavor:cream type:cream,"advanced,multi,vitamin,spf,face,cream,pump,tube"
sumeru ceylon flaky paratha 400g,400g,sumeru,frozen veg | branded food,flavor:paratha,"ceylon,flaky"
ttrt wafer biscuit orange 75g,75g,tasty treat,chocolates cakes confectioneries | branded food,flavor:orange color:orange,"wafer,biscuit,orange"
tasty treat mango jam 500g,500g,tasty treat,jams spreads honey | branded food,flavor:mango,"mango,jam"
mdh pow spice garam masala 100g,100g,mdh,masala spices | grocery,,"pow,garam"
lovely bakery chocochip cookies,,lovely bakery,chocolates cakes confectioneries | branded food,flavor:cookies,cookies
dhampur sugar pp 1kg,1kg,dhampur,salt sugar jaggery | grocery,,
clmt toil clnr flush tablet pine 50g,50g,clmt,stationery | toys stationery,,"toil,tablet,pine"
axe signature denim cologne talc 100 g,100 g,axe signature,deos perfumes | beauty personal care,type:talc type:denim,"denim,talc"
indulekha skin care oil 100m,100m,indulekha,edible oil ghee | grocery,type:skin,"skin,care"
clmt floor clnr disinfectant pine 500m,500m,clmt,home cleaning | home hygiene,type:disinfectant,"floor,disinfectant,pine"
axe signature prfm crporate body bt 122m,122m,axe signature,deos perfumes | beauty personal care,,body
dove baby soap rich moisture bx 50g,50g,baby dove,baby care | baby care,type:soap,"soap,rich,moisture"
aquawhite tp chhota bhm duble bubble bx 80g,80g,aquawhite,toys | toys stationery,,bubble
bhpc edp sport women 9 50ml,9 50ml,ritter sport,toys | toys stationery,,"edp,women"
leonardo ext virgin olive oil bt 1l,1l,leonardo,edible oil ghee | grocery,color:olive flavor:olive,"ext,virgin,olive"
sunsilk conditioner thick & long 180m,180m,sunsilk,hair care | beauty personal care,type:conditioner,"conditioner,thick,long"
tops premium mango pickle 1kg,1kg,premium,pickles chutneys | branded food,flavor:pickle flavor:mango,"tops,mango,pickle"
flying bird ice cream essence 20ml,20ml,flying bird,masala spices | grocery,flavor:cream type:cream,"ice,cream,essence"
sugar free aspartame 100 sachets,100 s,sugar free,salt sugar jaggery | grocery,,
ttrt jam mango 200g,200g,three mango,pickles chutneys | branded food,,jam
sarveshwar rice long grain select 5kg,5kg,sarveshwar,rice wheat other grains | grocery,flavor:grain,"long,grain,select"
savlon antiseptic disnfect liquid 200ml,200ml,savlon,otc | beauty personal care,type:antiseptic,"antiseptic,liquid"
maggi ndl ntr lcus atta mexicana pp 75g,75g,maggi,noodles pastas vermicelli | branded food,flavor:mexicana,"ntr,atta"
prim clnr bathrm & tlt cleaning wipe 40n,,prim,stationery | toys stationery,,"cleaning,wipe"
remia sld dres 1000 island bt 250ml,000 is,remia,toys | toys stationery,,land
tata ctc teaveda 100g,100g,tata,tea coffee | beverages,,ctc
scotch bri utensl srb non scrtch lduty,,3m scotch,stationery | toys stationery,,"bri,non"
swastik three mango sambar powder 100g,100g,three mango,masala spices | grocery,flavor:sambar,"sambar,powder"
organic tattva red chilli whole pp 100g,100g,organic tattva,organic spices | grocery,flavor:chilli color:red,"red,chilli,whole"
parachute advansed mens hair crm 100g,100g,parachute advansed,hair care | beauty personal care,,men
garden snacks onion pakoda 150g,150g,garden,chips namkeens snacks | branded food,flavor:pakoda flavor:onion,onion
garden namkeen diet chivda 150g,150g,garden,chips namkeens snacks | branded food,flavor:namkeen,diet
english oven bread whole wheat,,english oven,masala spices | grocery,flavor:bread flavor:wheat,"bread,whole,wheat"
ritter sport chocolate fine milk cocoa 100g,100g,ritter sport,chocolates cakes confectioneries | branded food,flavor:chocolate flavor:milk type:chocolate,"chocolate,fine,milk,cocoa"
everest pow spice hingraj bt 100g,100g,everest,masala spices | grocery,,pow
cremica pudina chataka sauce 460g,460g,cremica,sauces puree dips | branded food,flavor:pudina flavor:sauce,sauce
soyafit paneer pp 200g,200g,soyafit,ready to eat | branded food,flavor:paneer,
laxmi bhog besan kadi pakoda 500g,500g,laxmibhog,stationery | toys stationery,flavor:pakoda flavor:besan,kadi
revlon sc t&g advance fairness cream 50g,50g,revlon,baby care | baby care,flavor:cream type:cream,"advance,fairness,cream"
yummiez frozen veg pizza pocket 360g,360g,yummiez,frozen veg | branded food,flavor:pizza,"pizza,pocket"
old spice aftsv ltn atomsr frslime 150ml,150ml,old spice,freshners repellents | home hygiene,,
safal peas green peas 1k,,safal,masala spices | grocery,color:green flavor:peas,"peas,green,peas"
eastern readymix sambar bx 100g,100g,eastern,masala spices | grocery,flavor:sambar,sambar
keya mixed herbs fresh 20g,20g,keya,masala spices | grocery,flavor:herbs,"mixed,herbs,fresh"
clmt floor cleaner floral pp 500ml,500ml,clmt,home cleaning | home hygiene,flavor:floral,"floor,cleaner,floral"
tresemme detox &restore conditoner 85ml,85ml,tresemme,hair care | beauty personal care,,detox
tresemme beauty full volume conditioner 80 ml,80 ml,tresemme,hair care | beauty personal care,type:conditioner,"full,volume,conditioner"
tresemme hair fall defense conditioner 80 ml,80 ml,tresemme,hair care | beauty personal care,type:conditioner,"fall,defense,conditioner"
tic tac elaichi mint 10.7g,10.7g,tic tac,chocolates cakes confectioneries | branded food,flavor:elaichi flavor:mint type:elaichi,mint
tic tac mint apple treat 10.2g,10.2g,tic tac,chocolates cakes confectioneries | branded food,flavor:mint flavor:apple,"mint,apple,treat"
shakti oth pooja mauli nada,,shakti,toys | toys stationery,,"oth,nada"
shakti namkeen singh dana 200 gm,200 gm,shakti,chocolates cakes confectioneries | branded food,flavor:namkeen,"singh,dana"
layerr wotta girl obsession 135ml,135ml,layerr shot,chocolates cakes confectioneries | branded food,,girl
munchys plain biscuit sugar cracker original 300g,300g,munchys,health drinks | beverages,flavor:sugar,"plain,biscuit,sugar,cracker,original"
real grape juice 1l,1l,real,fruit juices drinks | beverages,flavor:juice flavor:grape,"grape,juice"
oral b tbrush pro hlth med 1p,1p,,oral care | beauty personal care,,"pro,med"
ts foldable brush black 8592,,ts,cleaning accessories | home hygiene,color:black,"brush,black,8592"
ts foot value pack green ba10292,,ts,dry fruits | grocery,color:green,"foot,value,pack,green"
pratha dhoop stick sambrani 20+ 4pcs,20+ 4p,pratha,stationery | toys stationery,,tick
temper lipgloss clear,,temper,otc | beauty personal care,type:lipgloss,clear
lakme clean up nourishing glow face scrub 50 g,50 g,lakme,skin care | beauty personal care,color:clean,"clean,low,face,scrub"
sofresh bk khari methi,,sofresh,otc | beauty personal care,flavor:methi,
bhikharam chand aloo bhujia 400g,400g,bhikharam chandmal,frozen veg | branded food,flavor:aloo,chand
bauli cakes moonfils vanilla pp 45g,45g,bauli,chocolates cakes confectioneries | branded food,flavor:vanilla,vanilla
puretta milk powder container 3 racks 1p,1p,puretta,chocolates cakes confectioneries | branded food,flavor:milk,"milk,powder,container,racks"
amul shrikhand elaichi cup 200g,200g,amul,ice cream desserts | branded food,flavor:elaichi type:elaichi,cup
gh rice kolam hmt regular 10kg,10kg,regular,masala spices | grocery,flavor:rice,rice
snickers chocolate shubh avsar gift pack 150g,150g,chocolate,chocolates cakes confectioneries | branded food,,"gift,pack"
engage deo w1 perfume spray women 120ml,1 p,engage,deos perfumes | beauty personal care,,"deo,ray,women"
gh rice boiled laxmi bhog pp 5kg,5kg,laxmibhog,organic grains | grocery,flavor:rice,"rice,boiled"
rambutan,,amrutanjan,otc | beauty personal care,flavor:rambutan,
red guava,,red bull,soft drinks | beverages,flavor:guava,guava
american g sld dr lite 1000 island 237ml,000 is,american garden,chips namkeens snacks | branded food,,"lite,land"
mars chocolates miniatures 150g,150g,chocolate,chocolates cakes confectioneries | branded food,,"mar,miniature"
gillette cartridges venus 3blades 2p,3bl,gillette,men toiletries | beauty personal care,,"cartridge,ade"
mothers recipe punjabi panchranga pickle 400g,400g,mothers recipe,pickles chutneys | branded food,flavor:pickle,"punjabi,pickle"
gillette shav brush shaving,,gillette,men toiletries | beauty personal care,,hav
dilmah natural moroccan mint green tea bag 25pcs,25pcs,dilmah,tea coffee | beverages,flavor:mint type:bag color:green,"natural,moroccan,mint,green,bag"
lizol floor clnr citrus bt 2l,2l,lizol,home cleaning | home hygiene,flavor:citrus,"floor,citrus"
kurkure solid masti masala 90g,90g,kurkure,chips namkeens snacks | branded food,,
wafer biscuit vanilla waffy,,,biscuits cookies crackers | branded food,flavor:vanilla,"wafer,biscuit,vanilla"
wafer biscuit waffy ustav,,,biscuits cookies crackers | branded food,,wafer
ritebite max protein namkeen spanish tomato 120g,120g,ritebite,breakfast cereals | branded food,flavor:namkeen flavor:tomato,"max,protein,spanish,tomato"
kellogs cornflake honey 30g,30g,,jams spreads honey | branded food,flavor:cornflake,cornflake
nilgiris rich plum cake 200g,200g,nilgiris,chocolates cakes confectioneries | branded food,,"rich,plum,cake"
candid talc activ sweat cantrol bt 250g,250g,candid,skin care | beauty personal care,type:talc,"talc,sweat"
nescafe flvrd mlk rtd icd latte cn 180ml,180ml,nescafe,tea coffee | beverages,,"rtd,icd"
mera swad mukhwas madrasi saunf 180g,180g,mera swad,toys | toys stationery,,
everest who spice saffron bt 0.5g,0.5g,everest,masala spices | grocery,flavor:saffron,"spice,saffron"
mera swad mukhwas dilbahar mix 90g,90g,mera swad,fun drink mix | beverages,,
cremica twin creme choco vanila pp 90g,90g,cremica,skin care | beauty personal care,flavor:choco,"twin,creme"
alfez falafel mix 150g,150g,alfez,baking dessert mixes | branded food,flavor:falafel,mix
ocean fruit wave lime orange bottle 300ml,300ml,ocean,soft drinks | beverages,flavor:orange flavor:fruit color:orange flavor:lime,"fruit,wave,lime,orange,bottle"
huggies total protection diapers medium 58 pcs,58 pcs,huggies,baby care | baby care,type:diapers,"total,protection,diapers,medium"
axe signature pulse after shave lotion 50 ml,50 ml,axe signature,deos perfumes | beauty personal care,type:lotion,"pulse,shave,lotion"
chk whole leg wos,,head & shoulders,hair care | beauty personal care,,"whole,leg"
american garden butter microwave popcorn 297g,297g,american garden,jams spreads honey | branded food,flavor:butter,"butter,microwave,popcorn"
sofresh buns burger,,sofresh,toys | toys stationery,flavor:burger,"buns,burger"
sofresh brownie walnut,,sofresh,chips namkeens snacks | branded food,flavor:walnut,"brownie,walnut"
kanodia til oil bt 1l,1l,kanodia,edible oil ghee | grocery,,til
american g sprd pnut btr chunky 340g,340g,american garden,jams spreads honey | branded food,,"prd,btr,chunky"
gh fruit&nut dates dry pp 200g,200g,fruit,chocolates cakes confectioneries | branded food,,"date,dry"
gh kaju broken 100g,100g,golden harvest,organic flours | grocery,flavor:kaju,broken
haribo chamallows pink & white marshmallows 150g,150g,haribo,toys | toys stationery,flavor:marshmallows color:white type:pink color:pink,"pink,white,marshmallows"
shan readymix chicken handi 50g,50g,handi,ready to eat | branded food,flavor:chicken,"shan,mix,chicken"
nv grnola bar apple crunch 42,,yoga bar,breakfast cereals | branded food,flavor:apple,"apple,crunch"
pravin pickle mixed bt 350g,350g,pravin,pickles chutneys | branded food,flavor:pickle,"pickle,mixed"
pravin pickle sweet lime pp 200g,200g,pravin,pickles chutneys | branded food,flavor:pickle flavor:lime,"pickle,sweet,lime"
easy maxx nail polish rd15 6ml,15 6ml,easy maxx,laundry | home hygiene,,nail
sumeru chicken sausages 500g,500g,sumeru,frozen veg | branded food,flavor:chicken,"chicken,sausages"
el pastor cheese goat log pepper pp 100g,100g,el pastor,chips namkeens snacks | branded food,flavor:pepper flavor:cheese,"cheese,goat,log,pepper"
roopak readymix biryani 100g,100g,,baking dessert mixes | branded food,flavor:biryani,
roopak pow spice coriander 200g,200g,old spice,freshners repellents | home hygiene,flavor:coriander,"pow,coriander"
intl pringles bbq 158gm,158gm,pringles,chocolates cakes confectioneries | branded food,,
tic tac mango 10.7g,10.7g,tic tac,chocolates cakes confectioneries | branded food,flavor:mango,mango
alpenliebe juzt jelly fruity bears 72.8g,72.8g,alpenliebe,chocolates cakes confectioneries | branded food,flavor:fruity flavor:jelly,"jelly,fruity,bears"
pepsi pet 600ml,600ml,pepsi,fun drink mix | beverages,,pet
verka milk standerd shakti pp 500ml,500ml,shakti,chocolates cakes confectioneries | branded food,flavor:milk,milk
alpenliebe candy caramel pop 8g,8g,alpenliebe,chocolates cakes confectioneries | branded food,flavor:candy flavor:caramel,"candy,caramel,pop"
232 plastic floor wiper 16,232 pl,gala,cleaning accessories | home hygiene,,"floor,wiper"
imli modak small mukhwas,,,hair care | beauty personal care,flavor:modak,small
nyle shmp volume enhance bt 400ml,400ml,nyle,hair care | beauty personal care,,"volume,enhance"
nature choice anjeer pp 200g,200g,easy choice,organic flours | grocery,,nature
britannia fruit & nut biscotti cake 70g,70g,britannia,chocolates cakes confectioneries | branded food,flavor:fruit flavor:biscotti,"fruit,nut,cake"
britannia cream cracker lite biscuit 100g,100g,britannia,biscuits cookies crackers | branded food,flavor:cream type:cream,"cream,cracker,lite,biscuit"
britannia chocolate cake 45g,45g,britannia,chocolates cakes confectioneries | branded food,flavor:chocolate type:chocolate,"chocolate,cake"
avees cornflake 500g,500g,avees,chocolates cakes confectioneries | branded food,flavor:cornflake,cornflake
act ii cheese bakes snacks 1+1 55g,1 55g,act ii,chips namkeens snacks | branded food,flavor:cheese,"cheese,bakes"
chicken kheema 250g,250g,easy choice,ready to eat | branded food,flavor:chicken flavor:kheema,chicken
india gate basmati rice mogra bag 10kg,10kg,india gate,organic grains | grocery,flavor:rice type:bag flavor:basmati,"basmati,rice,bag"
india gate brown rice jar 1kg,1kg,india gate,noodles pastas vermicelli | branded food,flavor:rice color:brown,"brown,rice,jar"
english oven bread pao,,english oven,jams spreads honey | branded food,flavor:bread flavor:pao,"bread,pao"
vim drop dw lemon gel cn 1.8l,1.8l,vim,utensil cleaners | home hygiene,type:gel flavor:lemon,"drop,lemon,gel"
quaker mix nutri dosa pp 150gm,150gm,quaker,breakfast cereals | branded food,flavor:dosa type:nutri,mix
epigamia yogurt grk honey banana cup 90g,90g,epigamia,chips namkeens snacks | branded food,type:yogurt flavor:banana flavor:honey type:honey flavor:yogurt,"yogurt,honey,banana,cup"
danone custard vanilla flavour tp 200ml,200ml,danone,baking dessert mixes | branded food,flavor:vanilla flavor:custard,"custard,vanilla,flavour"
rajma chitra 2 kg,2 kg,,chocolates cakes confectioneries | branded food,flavor:rajma flavor:chitra,
abbott ensure vanila 400gm,400gm,abbott,toys | toys stationery,,enure
all out insect kill multi cn 600ml,600ml,all out,freshners repellents | home hygiene,flavor:insect,"insect,kill,multi"
salsalito sauce wrap salsa hot bt 283g,283g,salsalito,sauces puree dips | branded food,color:hot flavor:sauce flavor:salsa,"sauce,wrap,salsa,hot"
vaseline lip therapy rosy lips 4 g,4 g,vaseline,skin care | beauty personal care,,"lip,therapy,roy,lip"
old spice aft shav ltn original bx 100ml,100ml,old spice,freshners repellents | home hygiene,,"aft,hav,original"
amrith methi papad 150 gr,150 g,amrith,ready to fry | branded food,flavor:methi flavor:papad,
litchi aloevera juice 1000 ml,1000 m,,fruit juices drinks | beverages,flavor:juice flavor:litchi,juice
vinut coconut water lychee flvr tn 330ml,330ml,vinut,fruit juices drinks | beverages,flavor:lychee flavor:coconut,"coconut,water"
baker street vanilla cake 30g,30g,baker street,chocolates cakes confectioneries | branded food,flavor:vanilla,"vanilla,cake"
baker street methi khari 150g,150g,baker street,toys | toys stationery,flavor:methi,
patanjali lemon body cleanser 125g,125g,patanjali,skin care | beauty personal care,flavor:lemon type:cleanser,"lemon,body,cleanser"
nilons macaroni italia 175g,175g,nilons,toys | toys stationery,,"macaroni,italia"
nilons khana khazana lime pickle 1kg,1kg,nilons,pickles chutneys | branded food,flavor:pickle flavor:lime,"lime,pickle"
nilons sauce chopstic red chilli bottle 680g,680g,nilons,sauces puree dips | branded food,flavor:chilli color:red flavor:sauce,"sauce,red,chilli,bottle"
choice matar channa 200g,200g,easy choice,chips namkeens snacks | branded food,flavor:matar flavor:channa,
mccains chilli garlic potato bites 420g,420g,mccains,chips namkeens snacks | branded food,flavor:potato flavor:chilli flavor:garlic,"chilli,garlic,potato,bites"
mccain samosa cheese pizza pp 240g,240g,mccains,frozen veg | branded food,flavor:pizza flavor:cheese flavor:samosa,"mccain,cheese,pizza"
pocket comb touch wood,,,laundry | home hygiene,,"pocket,comb,touch,wood"
american garden natural popcorn 297g,297g,american garden,jams spreads honey | branded food,,"natural,popcorn"
cinthol talc lime 100g,100g,cinthol,skin care | beauty personal care,type:talc flavor:lime,"talc,lime"
sofresh bread garlic roasted,,sofresh,jams spreads honey | branded food,flavor:bread flavor:roasted flavor:garlic,"bread,garlic,roasted"
sofresh rolls hotdog,,sofresh,toys | toys stationery,flavor:hotdog,rolls
bagrrys crunchy muesli box 400g,400g,bagrrys,breakfast cereals | branded food,flavor:muesli flavor:crunchy,"crunchy,muesli,box"
sangis kitchen tamarind date chutney 200g,200g,sangis kitchen,masala spices | grocery,flavor:chutney flavor:tamarind,"tamarind,date,chutney"
blue bird citric acid 50ml,50ml,blue bird,baking dessert mixes | branded food,flavor:citric,"citric,acid"
blue bird dry yeast baking need 25g,25g,blue bird,baking dessert mixes | branded food,,"dry,need"
blue bird pista instant china grass dessert mix 100g,100g,blue bird,baking dessert mixes | branded food,flavor:pista,"instant,china,grass,mix"
blue bird whipped cream dessert mix 50g,50g,blue bird,baking dessert mixes | branded food,flavor:cream type:cream,"whipped,cream,mix"
blue bird orange jelly dessert mix 8g,8g,blue bird,baking dessert mixes | branded food,flavor:orange color:orange flavor:jelly,"orange,jelly,mix"
hersheys brookside chocolate blueberry & acai 100g,100g,brookside,chocolates cakes confectioneries | branded food,flavor:acai flavor:blueberry flavor:chocolate type:chocolate,"chocolate,blueberry"
shaktibhog whole wheat atta pp 10kg,10kg,shaktibhog,flours sooji | grocery,flavor:wheat,"whole,wheat,atta"
md tadka chach,,hamdard,chocolates cakes confectioneries | branded food,flavor:tadka,
sangis kitchen schezwan mayonnaise 200g,200g,sangis kitchen,jams spreads honey | branded food,type:mayonnaise flavor:mayonnaise,mayonnaise
sangis kitchen mustard mayonnaise 210g,210g,sangis kitchen,jams spreads honey | branded food,type:mayonnaise flavor:mustard flavor:mayonnaise,"mustard,mayonnaise"
hitkary honey 1kg,1kg,hitkary,jams spreads honey | branded food,,
blue bird tri colour penne pasta 200g,200g,blue bird,noodles pastas vermicelli | branded food,flavor:penne flavor:pasta,"tri,colour,penne,pasta"
sangis ktcn white pepper powder bt 50g,50g,mr.white,masala spices | grocery,flavor:pepper color:white,"white,pepper,powder"
munch clt crunch o nuts pp 32g,32g,nestle,chocolates cakes confectioneries | branded food,,"munch,crunch,nut"
pantai sauce teryaki wth garlic bt 200ml,200ml,pantai,sauces puree dips | branded food,flavor:garlic flavor:sauce,"sauce,wth,garlic"
gh rice boiled mughali biryani pp 2kg,2kg,golden harvest,flours sooji | grocery,flavor:rice flavor:biryani,"rice,boiled"
gh rice long grain bag 5k,,golden harvest,rice wheat other grains | grocery,flavor:grain type:bag,"long,grain,bag"
amul diced cheese blend pp 200g,200g,amul,frozen veg | branded food,flavor:cheese,"diced,cheese,blend"
gh rice basmati hyderabadi biryani 5kg,5kg,golden harvest,organic grains | grocery,flavor:rice flavor:biryani flavor:basmati,"rice,basmati"
amul delicious margarine 500g,500g,delicious,chocolates cakes confectioneries | branded food,flavor:margarine,margarine
amul shrikhand badam pista cup 200g,200g,amul,ice cream desserts | branded food,flavor:pista flavor:badam,cup
gh daily pow spice coconut 200g,200g,old spice,freshners repellents | home hygiene,flavor:coconut,"daily,pow,coconut"
terra wfr original sea salt poly pack 140g,140g,terra,chocolates cakes confectioneries | branded food,,"original,alt,poly,pack"
engage deo w2 perfume spray women 120ml,2 p,engage,deos perfumes | beauty personal care,,"deo,ray,women"
gh cardamom powder bt 50g,50g,golden harvest,masala spices | grocery,flavor:cardamom,"cardamom,powder"
gh daily oth pulse mix dal 1kg,1kg,golden harvest,baking dessert mixes | branded food,flavor:dal,"daily,oth,pulse,mix,dal"
amul desi ghee tn 1l,1l,amul,ice cream desserts | branded food,flavor:ghee,"desi,ghee"
wagh bakri ice tea peach 250g,250g,wagh bakri,tea coffee | beverages,flavor:peach,"ice,peach"
waghbakri good morning green tea tulsi 22g,22g,wagh bakri,tea coffee | beverages,color:green,"good,morning,green"
mcvities bis digestive no sugar bx 150g,150g,mcvities,biscuits cookies crackers | branded food,flavor:sugar,"bis,digestive,sugar"
mtr pickle full mango 500g,500g,mtr,pickles chutneys | branded food,flavor:pickle flavor:mango,"pickle,full,mango"
mtr pickle tender mango 500g,500g,mtr,pickles chutneys | branded food,flavor:pickle flavor:mango,"pickle,tender,mango"
mtr namkeen spicy ompudi 80g,80g,mtr,chips namkeens snacks | branded food,flavor:namkeen flavor:spicy,spicy
goldiee pow spice garam masala 100g,100g,goldiee,masala spices | grocery,,"pow,garam"
veeba sauce peri peri hot&zingy bt 300g,300g,veeba,sauces puree dips | branded food,flavor:sauce,"sauce,peri,peri"
pringles wfr sth afr styl peri peri 110g,110g,pringles,chips namkeens snacks | branded food,,"peri,peri"
saffola masala oats chinese 39g,39g,saffola,breakfast cereals | branded food,flavor:oats,"masala,oats,chinese"
saffola tasty saff & corn oil pp 1l,1l,saffola,edible oil ghee | grocery,flavor:corn flavor:tasty,"tasty,corn"
pepsodent thbrs exp pro complt 2+1 1p,2+1 1p,pepsodent,oral care | beauty personal care,,"exp,pro"
mccain ff crzy fries herb grlc msl 400g,400g,mccain,frozen veg | branded food,flavor:fries flavor:herb,"fries,herb,msl"
britania shbh kamna dry frt dlgt 400g gp,400g g,britannia,biscuits cookies crackers | branded food,,"dry,dlt"
raw rice shakarchini loose,,loose,rice wheat other grains | grocery,,raw
bikaji n i namkeen kuch kuch pp 1k,,bikaji,otc | beauty personal care,flavor:namkeen,
jacobsens cks old denmark banana tn 150g,150g,jacobsens,frozen veg | branded food,flavor:banana,"old,denmark,banana"
weikfield vanilla custard powder 100g,100g,weikfield,masala spices | grocery,flavor:vanilla flavor:custard,"vanilla,custard,powder"
b natural guava juice 1l,1l,b natural,fruit juices drinks | beverages,flavor:juice flavor:guava,"guava,juice"
sunkist glasses 2p free with juice 1l op,2p,sunkist,fruit juices drinks | beverages,flavor:juice,"glasses,free,juice"
weikfield pasta penne bx 500g,500g,weikfield,noodles pastas vermicelli | branded food,flavor:penne flavor:pasta,"pasta,penne"
weikfield sauce green chilli 200g,200g,weikfield,sauces puree dips | branded food,flavor:chilli flavor:sauce color:green,"sauce,green,chilli"
