cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
 paneer fresh classic ,200g,gowardhan,ready to eat,branded food,paneer, fresh classic ,"['fresh', 'classic']"
 t tin,1 l,verka,edible oil ghee,grocery,, t tin,['tin']
 bk muffins filled orange,,sofresh,soft drinks,beverages,orange muffins, bk filled ,['filled']
sofresh cupcake ,,chocolate,chocolates cakes confectioneries,branded food,cupcake,sofresh ,[]
 can food black pitted ,450g,olicoop,masala spices,grocery,black, can food pitted ,"['food', 'pitted']"
 swts rasogulla tin ,1kg,haldiram mopleez,chocolates cakes confectioneries,branded food,, swts rasogulla tin ,['tin']
 curved comb & brush set ,2p,puretta,toys,toys stationery,, curved comb & brush set ,"['curved', 'comb', 'brush', 'set']"
cadbury perk home treats ,175g,chocolate,chocolates cakes confectioneries,branded food,,cadbury perk home treats ,"['cadbury', 'perk', 'home', 'treats']"
gh dry n nut kharbuj seed pp ,100g,fruit,chocolates cakes confectioneries,branded food,seed,gh dry n nut kharbuj pp ,"['dry', 'nut']"
 health rice bran jr ,5l,fortune,edible oil ghee,grocery,bran rice, health jr ,['health']
h atta rain pp 5k,9 g,,chocolates cakes confectioneries,branded food,,h atta rain pp 5k,"['atta', 'rain']"
gh daily oth pulse masoor dal prem 1k,,,dals pulses,grocery,dal masoor,gh daily oth pulse prem 1k,"['daily', 'oth', 'pulse', 'prem']"
 soup thai vegetable ,46g,knorr,ready to eat,branded food,soup vegetable, thai ,['thai']
 brush,,easy maxx,hair care,beauty personal care,, brush,['brush']
 deep action lemon mint el toothpaste ,150 g,closeup,oral care,beauty personal care,mint lemon, deep action el toothpaste ,"['deep', 'action', 'toothpaste']"
 pow spic khatai ,100g,ashok,toys,toys stationery,, pow spic khatai ,['pow']
 kasoori methi pp ,50g,ashok,toys,toys stationery,methi, kasoori pp ,[]
 breaded fish filets redy fry ,200g,ifb,ready to eat,branded food,breaded filets fish, redy fry ,['fry']
 grn raisin afghan raisins pp ,100g,karmiq,chocolates cakes confectioneries,branded food,raisin raisins, grn afghan s pp ,['afghan']
 readymix amti chole ,100g,roopak s,toys,toys stationery,, readymix amti chole ,[]
tej kachi ghani mustard bt ,500ml,,edible oil ghee,grocery,mustard,tej kachi ghani bt ,['ghani']
 uten clnr bar 3+ op,1 200g,pril,utensil cleaners,home hygiene,, uten clnr bar 3+ op,['bar']
 milk topp up strawbry bt ,200ml,gowardhan,chocolates cakes confectioneries,branded food,milk, topp up strawbry bt ,['topp']
 ni namk bhel puri puri ,180g,chheda s,chips namkeens snacks,branded food,puri bhel, ni namk ,[]
 ajwain cookiesm,350g,gulshan bakery,masala spices,grocery,ajwain, cookiesm,[]
 tetly regular green bag ,10pcs,tata tea,tea coffee,beverages,green bag, tetly regular ,['regular']
 tetly lemon honey green bag ,10pcs,tata tea,tea coffee,beverages,green honey lemon bag, tetly ,[]
 tasty peanut namkeen ,200g,bikano,chips namkeens snacks,branded food,peanut tasty namkeen, ,[]
 soya chips ,150g,diet foods,organic grains,grocery,soya, chips ,['chips']
 toilet roll multicolour y 3in1,2 pl,beeta,home cleaning,home hygiene,multicolour, toilet roll y 3in1,"['toilet', 'roll']"
 mosquito repellant refil k,2p,prosmart,freshners repellents,home hygiene,, mosquito repellant refil k,['mosquito']
 drink ,4*600ml,appy fizz,soft drinks,beverages,, drink ,['drink']
 tpaste total adv helth ,120g,colgate,oral care,beauty personal care,, tpaste total adv helth ,"['total', 'adv']"
kellogs cornflakes wheat flakes ,425g,,noodles pastas vermicelli,branded food,wheat,kellogs cornflakes flakes ,"['cornflakes', 'flakes']"
kelloggs cornflakes honey loop ,125g,,breakfast cereals,branded food,honey,kelloggs cornflakes loop ,"['kelloggs', 'cornflakes', 'loop']"
 readymix chana bx ,50g,badshah,chips namkeens snacks,branded food,chana, readymix bx ,[]
 deeply nourishing body wash ,190 ml,dove,skin care,beauty personal care,, deeply nourishing body wash ,"['deeply', 'nourishing', 'body', 'wash']"
 bis gold ,100g,parle,biscuits cookies crackers,branded food,, bis gold ,"['bis', 'gold']"
" rich moisture shampoo, ",200 ml,baby dove,baby care,baby care,," rich moisture shampoo, ","['rich', 'moisture']"
 milk booter ,475g,hershey s,otc,beauty personal care,milk, booter ,[]
mackerel whole,,mr.white,chocolates cakes confectioneries,branded food,,mackerel whole,"['mackerel', 'whole']"
 popcorn lite ,255g,american garden,jams spreads honey,branded food,, popcorn lite ,"['popcorn', 'lite']"
 focaccia olive bread,,sofresh,edible oil ghee,grocery,bread focaccia olive, ,[]
ts nail filer pb35108,,regular,otc,beauty personal care,,ts nail filer pb35108,"['nail', 'filer']"
 soap original ,75g,dettol,skin care,beauty personal care,, soap original ,"['soap', 'original']"
moshes bread herb focaccia,,,chocolates cakes confectioneries,branded food,bread focaccia herb,moshes ,[]
zhakhaas papad machine made 200g,7 pp,vishal,baby care,baby care,papad,zhakhaas machine made 200g,"['machine', 'made']"
 veg fryum sago papadi ,200g,arohi,ready to eat,branded food,veg sago, fryum papadi ,[]
 hw classic op,2*180ml,santoor,chocolates cakes confectioneries,branded food,, hw classic op,['classic']
 til laddu pp ,200 g,swad maharashtra,baby care,baby care,laddu, til pp ,['til']
 glucose original ,100g,rasna,chocolates cakes confectioneries,branded food,, glucose original ,"['glucose', 'original']"
rasna powdered concentrate shakeup ,250g,chocolate,chocolates cakes confectioneries,branded food,,rasna powdered concentrate shakeup ,"['powdered', 'concentrate']"
brijnandan namk save pp ,400g,gud egg,toys,toys stationery,,brijnandan namk save pp ,['save']
 pomace olive tn ,5l,cesar,edible oil ghee,grocery,olive pomace, tn ,[]
 mixed fruit essence ,20ml,flying bird,masala spices,grocery,fruit, mixed essence ,"['mixed', 'essence']"
 four seasons juice drink ,240ml,del monte,fruit juices drinks,beverages,juice, four seasons drink ,"['four', 'seasons', 'drink']"
 himalayan kala namak tn ,200g,keya,masala spices,grocery,, himalayan kala namak tn ,"['himalayan', 'kala']"
 ajwain salt biscuit,,lovely bakery,oral care,beauty personal care,ajwain, salt biscuit,"['salt', 'biscuit']"
v wash sea buckthorn&tree oil ,100ml,boro plus,home cleaning,home hygiene,,v wash sea buckthorn&tree oil ,"['wash', 'sea', 'oil']"
 short ,500g,rajdhani,noodles pastas vermicelli,branded food,, short ,['short']
pink perch,,perk,frozen veg,branded food,pink, perch,['perch']
 dahi traditional cup ,400g,verka,noodles pastas vermicelli,branded food,dahi, traditional cup ,"['traditional', 'cup']"
 candes 2choco eclair ,200g,alpenliebe,chocolates cakes confectioneries,branded food,eclair, candes 2choco ,[]
 chikki khasta gajak ,200g,shakti,chocolates cakes confectioneries,branded food,, chikki khasta gajak ,[]
mangofillz candy,,candyman,chocolates cakes confectioneries,branded food,candy,mangofillz ,[]
 go cheese wedges plain ,140g,gowardhan,chocolates cakes confectioneries,branded food,cheese, go wedges plain ,"['wedges', 'plain']"
 sweet lassi,,verka,ready to eat,branded food,lassi, sweet ,['sweet']
 ndl chicken original ,70g,koka,noodles pastas vermicelli,branded food,chicken, ndl original ,['original']
 scrubber poly pack,,body line,skin care,beauty personal care,, scrubber poly pack,"['scrubber', 'poly', 'pack']"
snickers ,5*50g,chocolate,chocolates cakes confectioneries,branded food,,snickers ,[]
 groundnut pp ,1l,fortune,organic edible oil fats,grocery,groundnut, pp ,[]
gh whospicekalonji ,50g,,chocolates cakes confectioneries,branded food,,gh whospicekalonji ,[]
ritter sports mini mix box ,150g,chocolate,chocolates cakes confectioneries,branded food,,ritter sports mini mix box ,"['ritter', 'sports', 'mini', 'mix', 'box']"
 deo fresh men oriental bx ,150ml,fogg,deos perfumes,beauty personal care,, deo fresh men oriental bx ,"['deo', 'fresh', 'men', 'oriental']"
 cheese trix ,500g,tasty treat,frozen veg,branded food,cheese, trix ,[]
 rm frsnr t&f lavender prmry 12m,,glade,freshners repellents,home hygiene,lavender, rm frsnr t&f prmry 12m,[]
 orange ,500ml,gatorade,soft drinks,beverages,orange, ,[]
 blue ,500ml,gatorade,deos perfumes,beauty personal care,blue, ,[]
 cocoa powder ,50g,blue bird,baking dessert mixes,branded food,, cocoa powder ,"['cocoa', 'powder']"
" cooker cake mix, chocolate ",100g,weikfield,baking dessert mixes,branded food,chocolate," cooker cake mix, ","['cooker', 'cake']"
 custard mango bx ,75g,weikfield,baking dessert mixes,branded food,custard mango, bx ,[]
 mix nutri idli pp m,150g,quaker,breakfast cereals,branded food,idli, mix nutri pp m,['mix']
 danette choco smoothie op,4*180ml,danone,chocolates cakes confectioneries,branded food,choco smoothie, danette op,[]
 tandoori prawn skewers ,160g,cambay tiger,chocolates cakes confectioneries,branded food,tandoori prawn, skewers ,['skewers']
 basic cushion brush purple 8581,,ts,cleaning accessories,home hygiene,purple, basic cushion brush 8581,"['basic', 'cushion', 'brush', '8581']"
ts foot filer green pb30171,,regular,otc,beauty personal care,green,ts foot filer pb30171,"['foot', 'filer']"
galaxy crispy bar ,36g,chocolate,chocolates cakes confectioneries,branded food,crispy,galaxy bar ,"['galaxy', 'bar']"
 rava suji pp ,500g,rajdhani,breakfast cereals,branded food,suji rava, pp ,[]
jacobsen s muesli & cranberry cookies ,150g,,breakfast cereals,branded food,cranberry cookies muesli,jacobsen s & ,['jacobsen']
 hw kitchen fresh refil pp ,185ml,lifebuoy,personal hygiene,beauty personal care,, hw kitchen fresh refil pp ,"['kitchen', 'fresh']"
chckn drmstcks wos,,,toys,toys stationery,,chckn drmstcks wos,[]
 babyshmp shampoo 100m,,himalaya,hair care,beauty personal care,, babyshmp shampoo 100m,['shampoo']
 3 min vegetable upma cup ,80g,mtr,ready to eat,branded food,upma vegetable, 3 min cup ,"['min', 'cup']"
 pastes puliygar ,200g,mtr,ready to eat,branded food,, pastes puliygar ,['pastes']
 khara bhat mix ,300g,mtr,ready to eat,branded food,, khara bhat mix ,['mix']
 3 min vegetable upma bx ,230g,mtr,ready to eat,branded food,upma vegetable, 3 min bx ,['min']
 wheat pav m,280 g,g bakers,otc,beauty personal care,wheat, pav m,['pav']
 bakers cake - walnut m,300 g,chocolate,chocolates cakes confectioneries,branded food,walnut, bakers cake - m,"['bakers', 'cake']"
australian anzac ,,,biscuits cookies crackers,branded food,,australian anzac ,"['australian', 'anzac']"
 cookie toffee almond ,120g,tasty treat,chocolates cakes confectioneries,branded food,almond toffee, cookie ,['cookie']
ks mens deo on,150ml,,deos perfumes,beauty personal care,,ks mens deo on,"['mens', 'deo']"
 egg royal brown mini ,12p,eggspert,ready to eat,branded food,brown egg, royal mini ,"['royal', 'mini']"
 sanitrypad secure dry wing ,8p,stayfree,feminine care,beauty personal care,, sanitrypad secure dry wing ,"['secure', 'dry', 'wing']"
fun sandwich spread eggless ,300g,hr foods,breakfast cereals,branded food,sandwich eggless,fun spread ,"['fun', 'spread']"
 badam tail ,100ml,dabur,otc,beauty personal care,badam, tail ,['tail']
ghpr moong dal chilka pp ,500g,,chips namkeens snacks,branded food,moong dal,ghpr chilka pp ,[]
ghpr sabudana ,500g,,chocolates cakes confectioneries,branded food,,ghpr sabudana ,[]
crmt handwash peach pp ,900ml,,personal hygiene,beauty personal care,peach,crmt handwash pp ,[]
 o readymeal dal bukara ,285g,kitchens of india,chips namkeens snacks,branded food,dal, o readymeal bukara ,[]
rambandhu readymix chakali pp ,50g,,masala spices,grocery,,rambandhu readymix chakali pp ,[]
 soap clr spring ,3*125g,fiama di wills,skin care,beauty personal care,, soap clr spring ,"['soap', 'clr', 'spring']"
 lip watermelon shine ,4.8g,nivea,skin care,beauty personal care,watermelon, lip shine ,"['lip', 'shine']"
 clove whole pp ,50g,sangi s kitchen,home cleaning,home hygiene,clove, whole pp ,['whole']
 tar anie whole pp ,25g,sangi s kitchen,toys,toys stationery,, tar anie whole pp ,"['tar', 'whole']"
sangis kitchen white til sesame pp ,200g,mr.white,stationery,toys stationery,white sesame,sangis kitchen til pp ,"['kitchen', 'til']"
 infant no2 rf ,400g,lactogen,chocolates cakes confectioneries,branded food,, infant no2 rf ,"['infant', 'no2']"
sangis ktcn bengal mustard sauce bt ,240g,,sauces puree dips,branded food,mustard sauce,sangis ktcn bengal bt ,['bengal']
 sunscren moisturis spf a++75ml,50p,nivea,skin care,beauty personal care,, sunscren moisturis spf a++75ml,['spf']
 spray all insect killer 200m,,mortein,freshners repellents,home hygiene,insect, spray all killer 200m,"['spray', 'killer']"
bhikaram masala papad ,200g,bhikharam chandmal,ready to fry,branded food,papad,bhikaram masala ,['masala']
so fresh hamper rectagular basket ,20pcs,chocolate,chocolates cakes confectioneries,branded food,,so fresh hamper rectagular basket ,"['fresh', 'hamper', 'basket']"
so baked croutons garlic ,150g,soo fresh,sauces puree dips,branded food,garlic croutons,so baked ,['baked']
 det pow lemon jasmine ,1kg,wheel,home cleaning,home hygiene,lemon jasmine, det pow ,"['det', 'pow']"
 cocoa powder ,150g,cadbury,chocolates cakes confectioneries,branded food,, cocoa powder ,"['cocoa', 'powder']"
 aam panna juice ,250ml,paper boat,fruit juices drinks,beverages,juice, aam panna ,['panna']
 shahi mixture namkeen ,1kg,bikano,chips namkeens snacks,branded food,shahi namkeen, mixture ,['mixture']
 bikaneri bhujia namkeen ,1kg,bikano,chips namkeens snacks,branded food,namkeen, bikaneri bhujia ,[]
 our lightest slim milk ,1l,nilgiris,chocolates cakes confectioneries,branded food,milk, our lightest slim ,"['lightest', 'slim']"
kw feast ,70ml,chocolate,chocolates cakes confectioneries,branded food,,kw feast ,['feast']
 bag lady grey clasic bx ,25pcs,twinings,tea coffee,beverages,bag, lady grey clasic bx ,"['lady', 'grey']"
 namkeen moong dal ,150g,haldiram s,chips namkeens snacks,branded food,moong dal namkeen, ,[]
 body ltn indulgent normal 250m,,dove,skin care,beauty personal care,, body ltn indulgent normal 250m,"['body', 'indulgent', 'normal']"
 moong whole pp ,200g,desi atta company,dry fruits,grocery,moong, whole pp ,['whole']
 co spinach wheat pp ,500g,desi atta company,chocolates cakes confectioneries,branded food,spinach wheat, co pp ,[]
 chilli chatak lachha ,200g,haldiram s,chips namkeens snacks,branded food,chilli, chatak lachha ,[]
 namk khata meetha pp ,90g,haldiram s,chips namkeens snacks,branded food,, namk khata meetha pp ,[]
 jeera salted khakhra ,40g,sattviko,chips namkeens snacks,branded food,jeera, salted khakhra ,['salted']
 herb & cheese makhane ,21g,sattviko,chips namkeens snacks,branded food,cheese herb, & makhane ,[]
 moong dal plain pp ,40g,haldiram s,chips namkeens snacks,branded food,moong dal, plain pp ,['plain']
 tb kids iderman ext soft 1p,5+sp,colgate,oral care,beauty personal care,, tb kids iderman ext soft 1p,"['kids', 'ext', 'soft']"
 multigrain dosa mix pp ,200g,desi atta company,dry fruits,grocery,multigrain dosa, mix pp ,['mix']
 regenerative repair shampoo ,240 ml,dove,hair care,beauty personal care,, regenerative repair shampoo ,"['regenerative', 'repair', 'shampoo']"
 pow spice black pepper bx ,50g,badshah,sauces puree dips,branded food,pepper black, pow spice bx ,"['pow', 'spice']"
 bar rich moisture ,50 g,baby dove,baby care,baby care,, bar rich moisture ,"['bar', 'rich', 'moisture']"
kelloggs muesli & nut bx ,750g,fruit,breakfast cereals,branded food,muesli,kelloggs & nut bx ,"['kelloggs', 'nut']"
 gulab jamun ,500g,haldiram s,chocolates cakes confectioneries,branded food,gulab jamun, ,[]
 ndl masala flavour pp ,85g,koka,noodles pastas vermicelli,branded food,, ndl masala flavour pp ,"['masala', 'flavour']"
 ni namk gldn ltd cri cr ,180g,chheda s,toys,toys stationery,, ni namk gldn ltd cri cr ,"['ltd', 'cri']"
 vanaspati pp ,1l,ruchi,ready to fry,branded food,vanaspati, pp ,[]
 aarogya biscuit ,100g,patanjali,biscuits cookies crackers,branded food,, aarogya biscuit ,['biscuit']
 hide & seek vanilla sandwich biscuit ,100g,parle,biscuits cookies crackers,branded food,sandwich vanilla, hide & seek biscuit ,"['hide', 'seek', 'biscuit']"
 cleanser shikakai ,200ml,patanjali,hair care,beauty personal care,, cleanser shikakai ,['cleanser']
 tpaste medicated oralgel ,100g,patanjali,otc,beauty personal care,, tpaste medicated oralgel ,['medicated']
 amla pickle ,1kg,patanjali,pickles chutneys,branded food,amla pickle, ,[]
 special moong wadiyan masala ,200g,bhape,ready to fry,branded food,moong, special wadiyan masala ,"['special', 'masala']"
lays twistz saucy tomatina ,57 g,,chips namkeens snacks,branded food,,lays twistz saucy tomatina ,"['lays', 'saucy']"
 green lable ,100g,bru,tea coffee,beverages,green, lable ,[]
 bis coconut ,108g,parle,biscuits cookies crackers,branded food,coconut, bis ,['bis']
 crm bisc vanilla ,50g,yan yan,chocolates cakes confectioneries,branded food,vanilla, crm bisc ,[]
 rice jeera papad ,150g,easy choice,ready to fry,branded food,rice jeera papad, ,[]
 n eat papad zigzag ,150g,easy choice,ready to fry,branded food,papad, n eat zigzag ,"['eat', 'zigzag']"
 frnch fries super wedges ,400g,mccains,toys,toys stationery,fries, frnch super wedges ,"['super', 'wedges']"
 chilli garlic potato bites ,700g,mccains,chips namkeens snacks,branded food,chilli garlic potato, bites ,['bites']
opp tongue clener,,,toys,toys stationery,,opp tongue clener,"['opp', 'tongue']"
ph chat chana pp ,500g,,chips namkeens snacks,branded food,chana,ph chat pp ,['chat']
typhoo masala chai bag ,25pcs,tata tea,tea coffee,beverages,bag,typhoo masala chai ,"['typhoo', 'masala', 'chai']"
apple washington,,wipro safewash,otc,beauty personal care,apple, washington,['washington']
jack ripe,,hen fruit,fruit juices drinks,beverages,,jack ripe,"['jack', 'ripe']"
kakrola,,kara,chocolates cakes confectioneries,branded food,,kakrola,[]
ber country,,bounty,chocolates cakes confectioneries,branded food,,ber country,"['ber', 'country']"
cucumber kheera,,,fruit juices drinks,beverages,cucumber, kheera,[]
gh ponny boiled rice pp ,1kg,,noodles pastas vermicelli,branded food,rice,gh ponny boiled pp ,['boiled']
gh spicewhodalchiniprm ,50g,,chocolates cakes confectioneries,branded food,,gh spicewhodalchiniprm ,[]
gh bisi bele bhath kit ,270g,rr,stationery,toys stationery,bisi,gh bele bhath kit ,['kit']
 diamond attraction instant whitenin toothpaste ,100 g,closeup,oral care,beauty personal care,, diamond attraction instant whitenin toothpaste ,"['diamond', 'attraction', 'instant', 'toothpaste']"
fair & lov crm ayurvedic ,25g,think skin,skin care,beauty personal care,,fair & lov crm ayurvedic ,"['fair', 'lov', 'ayurvedic']"
 cake swiss roll cocoa crm ,185g,winkies,chocolates cakes confectioneries,branded food,, cake swiss roll cocoa crm ,"['cake', 'swiss', 'roll', 'cocoa']"
 prime time white slice bread,,bonn,baking dessert mixes,branded food,bread white, prime time slice ,"['prime', 'time', 'slice']"
gh prime moth whole pp ,500g,,frozen veg,branded food,,gh prime moth whole pp ,"['prime', 'moth', 'whole']"
gh prime yelow peas pp ,500g,,chocolates cakes confectioneries,branded food,peas,gh prime yelow pp ,['prime']
 lov sc powder cream bx ,18g,fair & lovely,skin care,beauty personal care,cream, lov sc powder bx ,"['lov', 'powder']"
 det liquied 2x bt ,1050ml,surf excel,laundry,home hygiene,, det liquied 2x bt ,['det']
no nk barbeque coated peanut tin 60g,1 s,godrej no.1,chips namkeens snacks,branded food,peanut,no nk barbeque coated tin 60g,"['coated', 'tin']"
lindt milk extra creamy ,100g,chocolate,chocolates cakes confectioneries,branded food,creamy milk,lindt extra ,['extra']
 chana dal masala namkeen ,200g,brij,chips namkeens snacks,branded food,chana dal namkeen, masala ,['masala']
 pitted olive ,450g,green brrew,pickles chutneys,branded food,olive, pitted ,['pitted']
 elaichi oan papdi 500g,450g,haldiram s,chips namkeens snacks,branded food,elaichi, oan papdi 500g,['oan']
 utsav cola cola asses fruit concentrate,32 gl,rasna,chocolates cakes confectioneries,branded food,fruit asses, utsav cola cola concentrate,"['cola', 'cola', 'concentrate']"
 oil almond damage free ,100ml,dabur,hair care,beauty personal care,almond, oil damage free ,"['oil', 'damage', 'free']"
loreal shmp exp nutri gloss 175m,,hair & care,hair care,beauty personal care,,loreal shmp exp nutri gloss 175m,"['exp', 'gloss']"
 candy cappuccino pp ,87.5g,kopiko,chocolates cakes confectioneries,branded food,candy, cappuccino pp ,['cappuccino']
 tmp hw foam mld smoothng bt 250m,,swiss tempelle,toys,toys stationery,, tmp hw foam mld smoothng bt 250m,"['tmp', 'foam']"
 utensil srb 3 in 1 10x15cm,,clmt,toys,toys stationery,, utensil srb 3 in 1 10x15cm,"['utensil', 'srb']"
 pow spice hing yellow bt ,50g,vandevi,frozen veg,branded food,yellow, pow spice hing bt ,"['pow', 'spice']"
 plst disp garbage bags med b1g1,30p,clmt,otc,beauty personal care,, plst disp garbage bags med b1g1,"['garbage', 'bags', 'med']"
 deo ticket champion,,axe signature,deos perfumes,beauty personal care,, deo ticket champion,"['deo', 'ticket', 'champion']"
 tbrsh chhota bheem jgl wgl bp ,1p,aquawhite,toys,toys stationery,, tbrsh chhota bheem jgl wgl bp ,[]
 jam apricot ,340g,dana,jams spreads honey,branded food,apricot, jam ,['jam']
 new born diapers xs size ,22 pcs,huggies,baby care,baby care,diapers, new born xs size ,"['new', 'born', 'size']"
 wa icm cornetto choco ,65g,kwality walls,tea coffee,beverages,choco, wa icm cornetto ,"['icm', 'cornetto']"
 cheese block process bx ,200g,nilgiris,sauces puree dips,branded food,cheese, block process bx ,"['block', 'process']"
rite bite krunch ,30gms,3m scotch-brite,utensil cleaners,home hygiene,,rite bite krunch ,"['rite', 'bite']"
 mango party pack,700 ml,kwality walls,ice cream desserts,branded food,mango, party pack,"['party', 'pack']"
kw and nut tb ,700ml,fruit,chocolates cakes confectioneries,branded food,,kw and nut tb ,['nut']
 snk mango achari trangels pp ,90g,kurkure,chips namkeens snacks,branded food,mango, snk achari trangels pp ,[]
 cleansing wipes pp ,20p,kara,baby care,baby care,, cleansing wipes pp ,"['cleansing', 'wipes']"
 ma soup ,60g,bambino,ready to eat,branded food,soup, ma ,[]
 & cl fw morning energy apple ,100ml,clean mate,soft drinks,beverages,apple, & cl fw morning energy ,"['morning', 'energy']"
 floor clnr floral bt ,2l,lizol,home cleaning,home hygiene,floral, floor clnr bt ,['floor']
 namk karare peanut ,155g,kurkure,chips namkeens snacks,branded food,peanut, namk karare ,[]
 coconut water ,330ml,tendo,fruit juices drinks,beverages,coconut, water ,['water']
sprouted chana,,,chips namkeens snacks,branded food,chana,sprouted ,['sprouted']
malle sk,,taj mahal,tea coffee,beverages,,malle sk,['malle']
 lite spread tub ,200g,amul,ice cream desserts,branded food,, lite spread tub ,"['lite', 'spread', 'tub']"
amul spiced buttermilk ,200ml,premium,biscuits cookies crackers,branded food,buttermilk,amul spiced ,['spiced']
 whipping ,1l,amul,ice cream desserts,branded food,, whipping ,['whipping']
 talc musk gentle ,100g,nivea,skin care,beauty personal care,, talc musk gentle ,"['talc', 'musk', 'gentle']"
 deo pearl & 150m,,nivea,deos perfumes,beauty personal care,pearl, deo & 150m,['deo']
 hc nupur conut hena crm burgundy,,godrej,freshners repellents,home hygiene,burgundy, hc nupur conut hena crm ,[]
 mango juice ,1.2l,manpasand,fruit juices drinks,beverages,juice mango, ,[]
"bagrrys cornflake , original & healthier ",475g,boro plus,toys,toys stationery,cornflake,"bagrrys , original & healthier ","['original', 'healthier']"
 cornflour poly pack ,100g,blue bird,baking dessert mixes,branded food,cornflour, poly pack ,"['poly', 'pack']"
 vanilla pudding mix ,100g,blue bird,baking dessert mixes,branded food,pudding vanilla, mix ,['mix']
 italian pizza oregano tn ,80g,keya,masala spices,grocery,oregano pizza, italian tn ,['italian']
 ionic strength conditioner ,80 ml,tresemme,hair care,beauty personal care,, ionic strength conditioner ,"['ionic', 'strength', 'conditioner']"
 ni namk crnflk chwda ,250g,laxminarayan ,toys,toys stationery,, ni namk crnflk chwda ,[]
sundrop pnt btr creamy jr ,924g,regular,ready to fry,branded food,creamy,sundrop pnt btr jr ,['btr']
mcvities digestive value pack ,150g,,biscuits cookies crackers,branded food,,mcvities digestive value pack ,"['mcvities', 'digestive', 'value', 'pack']"
 hobnob bicuit 2+ 50g,1 150g,mcvitie s,biscuits cookies crackers,branded food,, hobnob bicuit 2+ 50g,[]
 mayonnaise olive oil ,300g,veeba,jams spreads honey,branded food,mayonnaise olive, oil ,['oil']
 cardamom milk ,180ml,mtr,masala spices,grocery,milk cardamom, ,[]
 shahi paneer ,300g,mtr,ready to eat,branded food,shahi paneer, ,[]
 phyenolic 500m,,domex,oral care,beauty personal care,, phyenolic 500m,[]
mcvities cream biscuit doublee cream poly pack ,100g,,biscuits cookies crackers,branded food,cream,mcvities biscuit doublee poly pack ,"['mcvities', 'biscuit', 'poly', 'pack']"
 u.s. mustard squeeze ,397g,american garden,jams spreads honey,branded food,mustard, u.s. squeeze ,"['u.s.', 'squeeze']"
orange,,borges,chocolates cakes confectioneries,branded food,orange,,[]
apple granny,,rin ala,chocolates cakes confectioneries,branded food,apple, granny,['granny']
kinnow,,kiwi,chocolates cakes confectioneries,branded food,kinnow,,[]
apple shimla,,home alone,chocolates cakes confectioneries,branded food,apple, shimla,[]
dragon ,,fruit,fruit juices drinks,beverages,,dragon ,['dragon']
papaya,,appy,chocolates cakes confectioneries,branded food,papaya,,[]
bhutta s corn,,desi atta company,breakfast cereals,branded food,corn,bhutta s ,[]
green s,,almond fresh,tea coffee,beverages,green, s,[]
grape glob,,red bull,fruit juices drinks,beverages,grape, glob,['glob']
potato ,,loose,chips namkeens snacks,branded food,potato, ,[]
chk malai kabab,,chhagan magan,chocolates cakes confectioneries,branded food,kabab malai,chk ,[]
 marie lght rich tst 4+ 20g,1 120g,sunfeast,biscuits cookies crackers,branded food,, marie lght rich tst 4+ 20g,"['marie', 'rich']"
 digestive hajmola imli ,120p,dabur,otc,beauty personal care,, digestive hajmola imli ,['digestive']
fun mustard salad dressing ,250g,hr foods,jams spreads honey,branded food,mustard salad,fun dressing ,"['fun', 'dressing']"
colour nat hrclr burgundy no3.16 100m,,,toys,toys stationery,burgundy,colour nat hrclr no3.16 100m,"['colour', 'nat']"
 sc white complete spf19 bx ,18g,garnier,skin care,beauty personal care,white, sc complete spf19 bx ,['complete']
 khatta meetha namkeen ,1kg,foodex,chips namkeens snacks,branded food,namkeen, khatta meetha ,[]
 apple jam ,250g,sunkist,jams spreads honey,branded food,apple, jam ,['jam']
nonum steelscrub magnetic15g,1mag,fablas,toys,toys stationery,,nonum steelscrub magnetic15g,[]
 fresh renewal face wash ,60 g,pears,skin care,beauty personal care,, fresh renewal face wash ,"['fresh', 'renewal', 'face', 'wash']"
 mint lozenge ,25g,fisherman s friend,otc,beauty personal care,mint, lozenge ,['lozenge']
 cheese flavoured cream sandwich cream biscuit ,190g,bellie,biscuits cookies crackers,branded food,cheese cream sandwich, flavoured biscuit ,"['flavoured', 'biscuit']"
"eat anytime healthy healthy energy - variety pack- of s, 240g",6 bars,yoga bar,stationery,toys stationery,,"eat anytime healthy healthy energy - variety pack- of s, 240g","['eat', 'anytime', 'healthy', 'healthy', 'energy', 'variety']"
 natural juice apricot ,1l,real,fruit juices drinks,beverages,apricot juice, natural ,['natural']
 flvr yoghurt strawberry ,80g,danone,soft drinks,beverages,yoghurt strawberry, flvr ,[]
 mango coco ,250 ml,raw pressery,masala spices,grocery,mango, coco ,['coco']
raw press juice pomegranate 100% bt 250m,,,fruit juices drinks,beverages,juice pomegranate,raw press 100% bt 250m,"['raw', 'press']"
 m white sona masur pp 1kg,24 l,mr.white,rice wheat other grains,grocery,masur white, m sona pp 1kg,[]
f&p instant rf ,50g,pure derm,tea coffee,beverages,,f&p instant rf ,['instant']
 hairpin u shaped medium po 70,,ts,toys,toys stationery,, hairpin u shaped medium po 70,"['hairpin', 'shaped', 'medium']"
 basmati mini mogra bag ,10kg,india gate,organic grains,grocery,bag basmati, mini mogra ,['mini']
ph who mustard ,100g,old spice,freshners repellents,home hygiene,mustard,ph who ,[]
